locus_tag	ftype	length_bp	gene	EC_number	COG	product
Sodalis_sp_CWE_GCF_019646055_1_00001	tRNA	73				tRNA-Thr(tgt)
Sodalis_sp_CWE_GCF_019646055_1_00002	tRNA	84				tRNA-Tyr(gta)
Sodalis_sp_CWE_GCF_019646055_1_00003	tRNA	74				tRNA-Gly(tcc)
Sodalis_sp_CWE_GCF_019646055_1_00004	tRNA	74				tRNA-Thr(ggt)
Sodalis_sp_CWE_GCF_019646055_1_00005	CDS	1185	tufB		COG0050	Elongation factor Tu 2
Sodalis_sp_CWE_GCF_019646055_1_00006	CDS	363	secE		COG0690	Protein translocase subunit SecE
Sodalis_sp_CWE_GCF_019646055_1_00007	CDS	543	nusG		COG0250	Transcription termination/antitermination protein NusG
Sodalis_sp_CWE_GCF_019646055_1_00008	CDS	429	rplK		COG0080	50S ribosomal protein L11
Sodalis_sp_CWE_GCF_019646055_1_00009	CDS	705	rplA		COG0081	50S ribosomal protein L1
Sodalis_sp_CWE_GCF_019646055_1_00010	CDS	504	rplJ		COG0244	50S ribosomal protein L10
Sodalis_sp_CWE_GCF_019646055_1_00011	CDS	378	rplL		COG0222	50S ribosomal protein L7/L12
Sodalis_sp_CWE_GCF_019646055_1_00012	CDS	4023	rpoB	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
Sodalis_sp_CWE_GCF_019646055_1_00013	CDS	4221	rpoC	2.7.7.6	COG0086	DNA-directed RNA polymerase subunit beta'
Sodalis_sp_CWE_GCF_019646055_1_00014	CDS	273	hupA			DNA-binding protein HU-alpha
Sodalis_sp_CWE_GCF_019646055_1_00015	CDS	330	trxA		COG0526	Thioredoxin 1
Sodalis_sp_CWE_GCF_019646055_1_00016	CDS	1260	rho	3.6.4.-	COG1158	Transcription termination factor Rho
Sodalis_sp_CWE_GCF_019646055_1_00017	tRNA	77				tRNA-Arg(ccg)
Sodalis_sp_CWE_GCF_019646055_1_00018	tRNA	74				tRNA-His(gtg)
Sodalis_sp_CWE_GCF_019646055_1_00019	tRNA	85				tRNA-Leu(cag)
Sodalis_sp_CWE_GCF_019646055_1_00020	tRNA	76				tRNA-Pro(tgg)
Sodalis_sp_CWE_GCF_019646055_1_00021	CDS	825	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
Sodalis_sp_CWE_GCF_019646055_1_00022	CDS	1983	uvrD	3.6.4.12	COG0210	DNA helicase II
Sodalis_sp_CWE_GCF_019646055_1_00023	CDS	1032	corA		COG0598	Magnesium transport protein CorA
Sodalis_sp_CWE_GCF_019646055_1_00024	CDS	813	yigL	3.1.3.74	COG0561	Pyridoxal phosphate phosphatase YigL
Sodalis_sp_CWE_GCF_019646055_1_00025	CDS	612				hypothetical protein
Sodalis_sp_CWE_GCF_019646055_1_00026	CDS	1116	asd	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
Sodalis_sp_CWE_GCF_019646055_1_00027	CDS	582	nfuA		COG0316	Fe/S biogenesis protein NfuA
Sodalis_sp_CWE_GCF_019646055_1_00028	CDS	792	bioH	3.1.1.85	COG0596	Pimeloyl-[acyl-carrier protein] methyl ester esterase
Sodalis_sp_CWE_GCF_019646055_1_00029	tmRNA	390	ssrA			transfer-messenger RNA, SsrA
Sodalis_sp_CWE_GCF_019646055_1_00030	CDS	171				hypothetical protein
Sodalis_sp_CWE_GCF_019646055_1_00031	CDS	630	gloC	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase GloC
Sodalis_sp_CWE_GCF_019646055_1_00032	CDS	1401	asnS	6.1.1.22	COG0017	Asparagine--tRNA ligase
Sodalis_sp_CWE_GCF_019646055_1_00033	CDS	699	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
Sodalis_sp_CWE_GCF_019646055_1_00034	CDS	645	grpE			Protein GrpE
Sodalis_sp_CWE_GCF_019646055_1_00035	CDS	885	nadK	2.7.1.23	COG0061	NAD kinase
Sodalis_sp_CWE_GCF_019646055_1_00036	CDS	288				hypothetical protein
