locus_tag	ftype	length_bp	gene	EC_number	COG	product
Sodalis_sp_SPI-1_GCF_001602625_1_00001	CDS	204				hypothetical protein
Sodalis_sp_SPI-1_GCF_001602625_1_00002	CDS	132				hypothetical protein
Sodalis_sp_SPI-1_GCF_001602625_1_00003	CDS	954	corA		COG0598	Magnesium transport protein CorA
Sodalis_sp_SPI-1_GCF_001602625_1_00004	CDS	693	uvrD_1	3.6.4.12	COG0210	DNA helicase II
Sodalis_sp_SPI-1_GCF_001602625_1_00005	CDS	810	uvrD_2	3.6.4.12	COG0210	DNA helicase II
Sodalis_sp_SPI-1_GCF_001602625_1_00006	CDS	345	xerC_1		COG4973	Tyrosine recombinase XerC
Sodalis_sp_SPI-1_GCF_001602625_1_00007	CDS	576	xerC_2		COG4973	Tyrosine recombinase XerC
Sodalis_sp_SPI-1_GCF_001602625_1_00008	CDS	486				hypothetical protein
Sodalis_sp_SPI-1_GCF_001602625_1_00009	CDS	168				hypothetical protein
Sodalis_sp_SPI-1_GCF_001602625_1_00010	CDS	825	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
Sodalis_sp_SPI-1_GCF_001602625_1_00011	CDS	189				hypothetical protein
Sodalis_sp_SPI-1_GCF_001602625_1_00012	CDS	1080	cyaA	4.6.1.1	COG3072	Adenylate cyclase
Sodalis_sp_SPI-1_GCF_001602625_1_00013	CDS	195				hypothetical protein
Sodalis_sp_SPI-1_GCF_001602625_1_00014	CDS	480	purL_1	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase
Sodalis_sp_SPI-1_GCF_001602625_1_00015	CDS	177	purL_2	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase
Sodalis_sp_SPI-1_GCF_001602625_1_00016	CDS	255	purL_3	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase
Sodalis_sp_SPI-1_GCF_001602625_1_00017	CDS	198				hypothetical protein
Sodalis_sp_SPI-1_GCF_001602625_1_00018	CDS	1254	glyA	2.1.2.1	COG0112	Serine hydroxymethyltransferase
Sodalis_sp_SPI-1_GCF_001602625_1_00019	CDS	789	suhB	3.1.3.25	COG0483	Inositol-1-monophosphatase
