file	format	type	num_seqs	sum_len	min_len	avg_len	max_len	Q1	Q2	Q3	sum_gap	N50	N50_num	Q20(%)	Q30(%)	AvgQual	GC(%)	sum_n
Dickeya_dadantii_XJ12_GCF_030168535.1	FASTA	DNA	1	4972118	4972118	4972118	4972118	4972118	4972118	4972118	0	4972118	1	0	0	0	56.3	0
Doolittlea_endobia_DEMHIR_GCF_900039485.1	FASTA	DNA	2	846562	11828	423281	834734	11828	423281	834734	0	834734	1	0	0	0	44.12	0
Gullanella_endobia_GEFVIR_GCF_900048035.1	FASTA	DNA	1	938041	938041	938041	938041	938041	938041	938041	0	938041	1	0	0	0	28.9	0
Mikella_endobia_mEPMAR_GCF_900048045.1	FASTA	DNA	1	352837	352837	352837	352837	352837	352837	352837	0	352837	1	0	0	0	30.56	0
Moranella_endobia_GCF_000364725.1	FASTA	DNA	1	538203	538203	538203	538203	538203	538203	538203	0	538203	1	0	0	0	43.52	0
Pectobacterium_cacticida_CFBP3628_GCF_036885195.1	FASTA	DNA	1	4116584	4116584	4116584	4116584	4116584	4116584	4116584	0	4116584	1	0	0	0	50.97	0
Sodalis_endolongispinus_SOD1_GCF_018777395.1	FASTA	DNA	4	3728128	89069	932032	2691569	89470.5	473745	1774593.5	0	2691569	1	0	0	0	56.43	0
Sodalis_glossinidius_morsitans_GCF_000010085.1	FASTA	DNA	4	4292502	10810	1073125.5	4171146	19025	55273	2127226	0	4171146	1	0	0	0	54.5	0
Sodalis_ligni_dw23_GCF_016865525.2	FASTA	DNA	1	6443694	6443694	6443694	6443694	6443694	6443694	6443694	0	6443694	1	0	0	0	54.96	3
Sodalis_pierantonius_SOPE_GCF_000517405.1	FASTA	DNA	1	4513140	4513140	4513140	4513140	4513140	4513140	4513140	0	4513140	1	0	0	0	56.06	0
Sodalis_praecaptivus_HS1_GCF_000517425.1	FASTA	DNA	2	5159425	449897	2579712.5	4709528	449897	2579712.5	4709528	0	4709528	1	0	0	0	57.1	0
Sodalis_sp_CWE_GCF_019646055.1	FASTA	DNA	2	797418	203407	398709	594011	203407	398709	594011	0	594011	1	0	0	0	31.39	0
Sodalis_sp_EtF2_GCA_036327475.1	FASTA	DNA	1	1870132	1870132	1870132	1870132	1870132	1870132	1870132	0	1870132	1	0	0	0	53.01	0
Sodalis_sp_HBA_GCF_900161835.1	FASTA	DNA	1	1622395	1622395	1622395	1622395	1622395	1622395	1622395	0	1622395	1	0	0	0	36.78	0
Sodalis_sp_PSPU_GCA_000647915.1	FASTA	DNA	562	1386675	295	2467.4	29709	987	1664.5	2918	0	3589	105	0	0	0	54	4500
Sodalis_sp_SPI-1_GCF_001602625.1	FASTA	DNA	92	2178899	494	23683.7	171838	4489	14460.5	32496.5	0	43007	15	0	0	0	49.14	26636
Sodalis_sp_TME1_GCA_001879235.1	FASTA	DNA	679	3419870	223	5036.6	27001	1909	3695	6923.5	0	7713	148	0	0	0	56.32	39716
