locus_tag	ftype	length_bp	gene	EC_number	COG	product
Sodalis_sp_TME1_GCA_001879235_1_00001	CDS	522				hypothetical protein
Sodalis_sp_TME1_GCA_001879235_1_00002	CDS	510				hypothetical protein
Sodalis_sp_TME1_GCA_001879235_1_00003	CDS	456	yfcA		COG0730	putative membrane transporter protein YfcA
Sodalis_sp_TME1_GCA_001879235_1_00004	CDS	555	epmC	1.14.-.-	COG3101	Elongation factor P hydroxylase
Sodalis_sp_TME1_GCA_001879235_1_00005	CDS	276				hypothetical protein
Sodalis_sp_TME1_GCA_001879235_1_00006	CDS	558	quiA_1	1.1.5.8	COG4993	Quinate/shikimate dehydrogenase (quinone)
Sodalis_sp_TME1_GCA_001879235_1_00007	CDS	270	yihD		COG3084	Protein YihD
Sodalis_sp_TME1_GCA_001879235_1_00008	CDS	174	mobA_1	2.7.7.77		Molybdenum cofactor guanylyltransferase
Sodalis_sp_TME1_GCA_001879235_1_00009	CDS	444	mobA_2	2.7.7.77	COG0746	Molybdenum cofactor guanylyltransferase
Sodalis_sp_TME1_GCA_001879235_1_00010	CDS	138				hypothetical protein
Sodalis_sp_TME1_GCA_001879235_1_00011	CDS	396	mobB		COG1763	Molybdopterin-guanine dinucleotide biosynthesis adapter protein
Sodalis_sp_TME1_GCA_001879235_1_00012	CDS	621	rlmF	2.1.1.181	COG3129	Ribosomal RNA large subunit methyltransferase F
Sodalis_sp_TME1_GCA_001879235_1_00013	CDS	399	ybiT_1		COG0488	putative ABC transporter ATP-binding protein YbiT
Sodalis_sp_TME1_GCA_001879235_1_00014	CDS	744	ybiT_2		COG0488	putative ABC transporter ATP-binding protein YbiT
Sodalis_sp_TME1_GCA_001879235_1_00015	CDS	462	ybiT_3		COG0488	putative ABC transporter ATP-binding protein YbiT
Sodalis_sp_TME1_GCA_001879235_1_00016	CDS	474	ompX		COG3637	Outer membrane protein X
Sodalis_sp_TME1_GCA_001879235_1_00017	CDS	837				hypothetical protein
Sodalis_sp_TME1_GCA_001879235_1_00018	CDS	384		2.7.1.101	COG0524	Tagatose kinase
Sodalis_sp_TME1_GCA_001879235_1_00019	CDS	723				hypothetical protein
Sodalis_sp_TME1_GCA_001879235_1_00020	CDS	366				hypothetical protein
Sodalis_sp_TME1_GCA_001879235_1_00021	CDS	855	pldA	3.1.1.32	COG2829	Phospholipase A1
Sodalis_sp_TME1_GCA_001879235_1_00022	CDS	588	xylB_1	2.7.1.17	COG1070	Xylulose kinase
Sodalis_sp_TME1_GCA_001879235_1_00023	CDS	723	xylR_1			Xylose operon regulatory protein
Sodalis_sp_TME1_GCA_001879235_1_00024	CDS	465	xylR_2			Xylose operon regulatory protein
Sodalis_sp_TME1_GCA_001879235_1_00025	CDS	969	trxB	1.8.1.9	COG0492	Thioredoxin reductase
