locus_tag	ftype	length_bp	gene	EC_number	COG	product
Sodalis_sp_HBA_GCF_900161835_1_00001	CDS	1386	dnaA		COG0593	Chromosomal replication initiator protein DnaA
Sodalis_sp_HBA_GCF_900161835_1_00002	CDS	1110	dnaN		COG0592	Beta sliding clamp
Sodalis_sp_HBA_GCF_900161835_1_00003	CDS	2523	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
Sodalis_sp_HBA_GCF_900161835_1_00004	CDS	186				hypothetical protein
Sodalis_sp_HBA_GCF_900161835_1_00005	CDS	129				hypothetical protein
Sodalis_sp_HBA_GCF_900161835_1_00006	CDS	282				hypothetical protein
Sodalis_sp_HBA_GCF_900161835_1_00007	CDS	1269	lysA	4.1.1.20		Diaminopimelate decarboxylase
Sodalis_sp_HBA_GCF_900161835_1_00008	CDS	189				hypothetical protein
Sodalis_sp_HBA_GCF_900161835_1_00009	CDS	684	mutH		COG3066	DNA mismatch repair protein MutH
Sodalis_sp_HBA_GCF_900161835_1_00010	CDS	570	rppH	3.6.1.-	COG0494	RNA pyrophosphohydrolase
Sodalis_sp_HBA_GCF_900161835_1_00011	CDS	873	lgt	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
Sodalis_sp_HBA_GCF_900161835_1_00012	CDS	795	thyA	2.1.1.45	COG0207	Thymidylate synthase
Sodalis_sp_HBA_GCF_900161835_1_00013	CDS	3405	recC	3.1.11.5	COG1330	RecBCD enzyme subunit RecC
Sodalis_sp_HBA_GCF_900161835_1_00014	CDS	3525	recB	3.1.11.5	COG1074	RecBCD enzyme subunit RecB
Sodalis_sp_HBA_GCF_900161835_1_00015	CDS	1848	recD	3.1.11.5	COG0507	RecBCD enzyme subunit RecD
Sodalis_sp_HBA_GCF_900161835_1_00016	tRNA	77				tRNA-Met(cat)
Sodalis_sp_HBA_GCF_900161835_1_00017	CDS	159				hypothetical protein
Sodalis_sp_HBA_GCF_900161835_1_00018	CDS	825	dapD	2.3.1.117	COG2171	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
