locus_tag	ftype	length_bp	gene	EC_number	COG	product
Moranella_endobia_GCF_000364725_1_00001	CDS	1062	recA		COG0468	Protein RecA
Moranella_endobia_GCF_000364725_1_00002	CDS	2628	alaS	6.1.1.7	COG0013	Alanine--tRNA ligase
Moranella_endobia_GCF_000364725_1_00003	CDS	186	csrA		COG1551	Translational regulator CsrA
Moranella_endobia_GCF_000364725_1_00004	CDS	1407	asnS	6.1.1.22	COG0017	Asparagine--tRNA ligase
Moranella_endobia_GCF_000364725_1_00005	CDS	978	serC	2.6.1.52	COG1932	Phosphoserine aminotransferase
Moranella_endobia_GCF_000364725_1_00006	CDS	1671	rpsA		COG0539	30S ribosomal protein S1
Moranella_endobia_GCF_000364725_1_00007	CDS	603	ahpC	1.11.1.15	COG0450	Alkyl hydroperoxide reductase C
Moranella_endobia_GCF_000364725_1_00008	CDS	1110	asd	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
Moranella_endobia_GCF_000364725_1_00009	CDS	1371	degQ	3.4.21.107	COG0265	Periplasmic pH-dependent serine endoprotease DegQ
Moranella_endobia_GCF_000364725_1_00010	CDS	216	ibaG		COG5007	Acid stress protein IbaG
Moranella_endobia_GCF_000364725_1_00011	tRNA	75				tRNA-Gly(gcc)
Moranella_endobia_GCF_000364725_1_00012	CDS	1281	hisS	6.1.1.21	COG0124	Histidine--tRNA ligase
Moranella_endobia_GCF_000364725_1_00013	CDS	1167	bamB		COG1520	Outer membrane protein assembly factor BamB
Moranella_endobia_GCF_000364725_1_00014	CDS	1470	der		COG1160	GTPase Der
Moranella_endobia_GCF_000364725_1_00015	CDS	276	rpoZ	2.7.7.6	COG1758	DNA-directed RNA polymerase subunit omega
Moranella_endobia_GCF_000364725_1_00016	CDS	261				hypothetical protein
Moranella_endobia_GCF_000364725_1_00017	CDS	2088	recG	3.6.4.12	COG1200	ATP-dependent DNA helicase RecG
Moranella_endobia_GCF_000364725_1_00018	tRNA	77				tRNA-Pro(ggg)
Moranella_endobia_GCF_000364725_1_00019	CDS	726	lptB	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
Moranella_endobia_GCF_000364725_1_00020	CDS	561	lptA		COG1934	Lipopolysaccharide export system protein LptA
Moranella_endobia_GCF_000364725_1_00021	CDS	579	lptC		COG3117	Lipopolysaccharide export system protein LptC
Moranella_endobia_GCF_000364725_1_00022	CDS	558	kdsC	3.1.3.45	COG1778	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC
Moranella_endobia_GCF_000364725_1_00023	CDS	2670	aceE	1.2.4.1	COG2609	Pyruvate dehydrogenase E1 component
Moranella_endobia_GCF_000364725_1_00024	CDS	1275	aceF	2.3.1.12	COG0508	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
Moranella_endobia_GCF_000364725_1_00025	CDS	1437	lpdA	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
Moranella_endobia_GCF_000364725_1_00026	CDS	258	tusA		COG0425	Sulfur carrier protein TusA
Moranella_endobia_GCF_000364725_1_00027	CDS	1428	cysG		COG0007	Siroheme synthase
Moranella_endobia_GCF_000364725_1_00028	CDS	735	cysH	1.8.4.8	COG0175	Phosphoadenosine phosphosulfate reductase
Moranella_endobia_GCF_000364725_1_00029	CDS	1704	cysI	1.8.1.2	COG0155	Sulfite reductase [NADPH] hemoprotein beta-component
Moranella_endobia_GCF_000364725_1_00030	CDS	1830	cysJ	1.8.1.2	COG0369	Sulfite reductase [NADPH] flavoprotein alpha-component
Moranella_endobia_GCF_000364725_1_00031	CDS	1296	eno	4.2.1.11	COG0148	Enolase
Moranella_endobia_GCF_000364725_1_00032	CDS	2820	polA	2.7.7.7	COG0258	DNA polymerase I
Moranella_endobia_GCF_000364725_1_00033	CDS	1035	dusA	1.3.1.-	COG0042	tRNA-dihydrouridine(20/20a) synthase
Moranella_endobia_GCF_000364725_1_00034	tRNA	86				tRNA-Leu(taa)
Moranella_endobia_GCF_000364725_1_00035	tRNA	74				tRNA-Cys(gca)
Moranella_endobia_GCF_000364725_1_00036	CDS	1005	glyQ	6.1.1.14	COG0752	Glycine--tRNA ligase alpha subunit
Moranella_endobia_GCF_000364725_1_00037	CDS	2004	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
Moranella_endobia_GCF_000364725_1_00038	CDS	102	cydX	7.1.1.7	COG4890	Cytochrome bd-I ubiquinol oxidase subunit X
Moranella_endobia_GCF_000364725_1_00039	CDS	1140	cydB	7.1.1.7	COG1294	Cytochrome bd-I ubiquinol oxidase subunit 2
