locus_tag	ftype	length_bp	gene	EC_number	COG	product
Sodalis_ligni_dw23_GCF_016865525_2_00001	CDS	1323	dnaA		COG0593	Chromosomal replication initiator protein DnaA
Sodalis_ligni_dw23_GCF_016865525_2_00002	CDS	1101	dnaN		COG0592	Beta sliding clamp
Sodalis_ligni_dw23_GCF_016865525_2_00003	CDS	1095	recF_1		COG1195	DNA replication and repair protein RecF
Sodalis_ligni_dw23_GCF_016865525_2_00004	CDS	2415	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
Sodalis_ligni_dw23_GCF_016865525_2_00005	CDS	699	yidA	3.1.3.23	COG0561	Sugar phosphatase YidA
Sodalis_ligni_dw23_GCF_016865525_2_00006	CDS	132				hypothetical protein
Sodalis_ligni_dw23_GCF_016865525_2_00007	CDS	387				hypothetical protein
Sodalis_ligni_dw23_GCF_016865525_2_00008	CDS	1590	araB_1	2.7.1.16	COG1069	Ribulokinase
Sodalis_ligni_dw23_GCF_016865525_2_00009	CDS	330				hypothetical protein
Sodalis_ligni_dw23_GCF_016865525_2_00010	CDS	126	ibpA_1		COG0071	Small heat shock protein IbpA
Sodalis_ligni_dw23_GCF_016865525_2_00011	CDS	300	ibpA_2		COG0071	Small heat shock protein IbpA
Sodalis_ligni_dw23_GCF_016865525_2_00012	CDS	453	ibpB_1		COG0071	Small heat shock protein IbpB
Sodalis_ligni_dw23_GCF_016865525_2_00013	CDS	1260	avtA	2.6.1.66	COG3977	Valine--pyruvate aminotransferase
Sodalis_ligni_dw23_GCF_016865525_2_00014	CDS	1002				hypothetical protein
Sodalis_ligni_dw23_GCF_016865525_2_00015	CDS	975	tkrA	1.1.1.79		Glyoxylate/hydroxypyruvate reductase B
Sodalis_ligni_dw23_GCF_016865525_2_00016	CDS	1266	ttuB_1			Putative tartrate transporter
Sodalis_ligni_dw23_GCF_016865525_2_00017	CDS	744				hypothetical protein
Sodalis_ligni_dw23_GCF_016865525_2_00018	CDS	1035	kdgR_1		COG1609	HTH-type transcriptional regulator KdgR
Sodalis_ligni_dw23_GCF_016865525_2_00019	CDS	432	yiaC	2.3.1.-	COG0454	Peptidyl-lysine N-acetyltransferase YiaC
Sodalis_ligni_dw23_GCF_016865525_2_00020	CDS	915	glyQ	6.1.1.14	COG0752	Glycine--tRNA ligase alpha subunit
Sodalis_ligni_dw23_GCF_016865525_2_00021	CDS	2070	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
Sodalis_ligni_dw23_GCF_016865525_2_00022	CDS	720				hypothetical protein
Sodalis_ligni_dw23_GCF_016865525_2_00023	CDS	1935	mtlA_1		COG2213	PTS system mannitol-specific EIICBA component
Sodalis_ligni_dw23_GCF_016865525_2_00024	CDS	1149	mtlD	1.1.1.17	COG0246	Mannitol-1-phosphate 5-dehydrogenase
Sodalis_ligni_dw23_GCF_016865525_2_00025	CDS	549	mtlR		COG3722	Mannitol operon repressor
Sodalis_ligni_dw23_GCF_016865525_2_00026	CDS	621	sodA	1.15.1.1	COG0605	Superoxide dismutase [Mn]
Sodalis_ligni_dw23_GCF_016865525_2_00027	CDS	795	fdhD		COG1526	Sulfur carrier protein FdhD
Sodalis_ligni_dw23_GCF_016865525_2_00028	CDS	894	pgrR_1			HTH-type transcriptional regulator PgrR
Sodalis_ligni_dw23_GCF_016865525_2_00029	CDS	852	hcaB_1	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
Sodalis_ligni_dw23_GCF_016865525_2_00030	CDS	609				hypothetical protein
Sodalis_ligni_dw23_GCF_016865525_2_00031	CDS	639	yibF		COG0625	putative GST-like protein YibF
Sodalis_ligni_dw23_GCF_016865525_2_00032	CDS	1539	aldB	1.2.1.-	COG1012	Aldehyde dehydrogenase B
Sodalis_ligni_dw23_GCF_016865525_2_00033	CDS	507	mdfA_1			Multidrug transporter MdfA
Sodalis_ligni_dw23_GCF_016865525_2_00034	CDS	768	mdfA_2			Multidrug transporter MdfA
Sodalis_ligni_dw23_GCF_016865525_2_00035	CDS	1011	wecH	2.3.1.-	COG3274	O-acetyltransferase WecH
Sodalis_ligni_dw23_GCF_016865525_2_00036	CDS	915				hypothetical protein
Sodalis_ligni_dw23_GCF_016865525_2_00037	CDS	657				hypothetical protein
Sodalis_ligni_dw23_GCF_016865525_2_00038	CDS	357				hypothetical protein
Sodalis_ligni_dw23_GCF_016865525_2_00039	CDS	375				hypothetical protein
Sodalis_ligni_dw23_GCF_016865525_2_00040	CDS	360				hypothetical protein
Sodalis_ligni_dw23_GCF_016865525_2_00041	CDS	420				hypothetical protein
Sodalis_ligni_dw23_GCF_016865525_2_00042	CDS	396				hypothetical protein
Sodalis_ligni_dw23_GCF_016865525_2_00043	CDS	519				hypothetical protein
Sodalis_ligni_dw23_GCF_016865525_2_00044	CDS	600				hypothetical protein
Sodalis_ligni_dw23_GCF_016865525_2_00045	CDS	1200	sbnD_1			Staphyloferrin B transporter
Sodalis_ligni_dw23_GCF_016865525_2_00046	CDS	432	ohrR_1			Organic hydroperoxide resistance transcriptional regulator
Sodalis_ligni_dw23_GCF_016865525_2_00047	CDS	429	ohrB		COG1764	Organic hydroperoxide resistance protein OhrB
Sodalis_ligni_dw23_GCF_016865525_2_00048	CDS	1554	eptB	2.7.8.42	COG2194	Kdo(2)-lipid A phosphoethanolamine 7''-transferase
Sodalis_ligni_dw23_GCF_016865525_2_00049	tRNA	77				tRNA-Pro(cgg)
Sodalis_ligni_dw23_GCF_016865525_2_00050	CDS	1395				hypothetical protein
Sodalis_ligni_dw23_GCF_016865525_2_00051	CDS	1185	ydcO		COG3135	Inner membrane protein YdcO
Sodalis_ligni_dw23_GCF_016865525_2_00052	CDS	567	sutR		COG1396	HTH-type transcriptional regulator SutR
Sodalis_ligni_dw23_GCF_016865525_2_00053	CDS	147				hypothetical protein
Sodalis_ligni_dw23_GCF_016865525_2_00054	CDS	783	gdhI	1.1.1.47	COG1028	Glucose 1-dehydrogenase 1
Sodalis_ligni_dw23_GCF_016865525_2_00055	CDS	1710	treF	3.2.1.28	COG1626	Cytoplasmic trehalase
Sodalis_ligni_dw23_GCF_016865525_2_00056	CDS	780	nimR_1			HTH-type transcriptional regulator NimR
Sodalis_ligni_dw23_GCF_016865525_2_00057	CDS	2103	fhuA_1		COG1629	Ferrichrome outer membrane transporter/phage receptor
Sodalis_ligni_dw23_GCF_016865525_2_00058	CDS	930	fhuD_1		COG0614	Iron(3+)-hydroxamate-binding protein FhuD
Sodalis_ligni_dw23_GCF_016865525_2_00059	CDS	1977	fhuB_1		COG0609	Iron(3+)-hydroxamate import system permease protein FhuB
Sodalis_ligni_dw23_GCF_016865525_2_00060	CDS	786				hypothetical protein
Sodalis_ligni_dw23_GCF_016865525_2_00061	CDS	744	nimR_2			HTH-type transcriptional regulator NimR
Sodalis_ligni_dw23_GCF_016865525_2_00062	CDS	2184	fptA		COG4773	Fe(3+)-pyochelin receptor
Sodalis_ligni_dw23_GCF_016865525_2_00063	CDS	1038				IS630 family transposase ISPeat1
Sodalis_ligni_dw23_GCF_016865525_2_00064	CDS	405				hypothetical protein
Sodalis_ligni_dw23_GCF_016865525_2_00065	CDS	270				hypothetical protein
Sodalis_ligni_dw23_GCF_016865525_2_00066	CDS	150				hypothetical protein
Sodalis_ligni_dw23_GCF_016865525_2_00067	CDS	1659	yojI_1		COG4615	ABC transporter ATP-binding/permease protein YojI
Sodalis_ligni_dw23_GCF_016865525_2_00068	CDS	273				hypothetical protein
Sodalis_ligni_dw23_GCF_016865525_2_00069	CDS	90				hypothetical protein
Sodalis_ligni_dw23_GCF_016865525_2_00070	CDS	1686	kdpA		COG2060	Potassium-transporting ATPase potassium-binding subunit
Sodalis_ligni_dw23_GCF_016865525_2_00071	CDS	861	kdpB_1	7.2.2.6	COG2216	Potassium-transporting ATPase ATP-binding subunit
