locus_tag	ftype	length_bp	gene	EC_number	COG	product
Sodalis_sp_PSPU_GCA_000647915_1_00001	CDS	288				hypothetical protein
Sodalis_sp_PSPU_GCA_000647915_1_00002	CDS	363				hypothetical protein
Sodalis_sp_PSPU_GCA_000647915_1_00003	CDS	354				hypothetical protein
Sodalis_sp_PSPU_GCA_000647915_1_00004	CDS	321				hypothetical protein
Sodalis_sp_PSPU_GCA_000647915_1_00005	CDS	303				hypothetical protein
Sodalis_sp_PSPU_GCA_000647915_1_00006	CDS	294				hypothetical protein
Sodalis_sp_PSPU_GCA_000647915_1_00007	CDS	312				hypothetical protein
Sodalis_sp_PSPU_GCA_000647915_1_00008	CDS	507				hypothetical protein
Sodalis_sp_PSPU_GCA_000647915_1_00009	CDS	303				hypothetical protein
Sodalis_sp_PSPU_GCA_000647915_1_00010	CDS	675				hypothetical protein
Sodalis_sp_PSPU_GCA_000647915_1_00011	CDS	186				hypothetical protein
Sodalis_sp_PSPU_GCA_000647915_1_00012	CDS	150				hypothetical protein
Sodalis_sp_PSPU_GCA_000647915_1_00013	CDS	258				hypothetical protein
Sodalis_sp_PSPU_GCA_000647915_1_00014	CDS	363				hypothetical protein
Sodalis_sp_PSPU_GCA_000647915_1_00015	CDS	537	msrA2	1.8.4.11		Peptide methionine sulfoxide reductase MsrA 2
Sodalis_sp_PSPU_GCA_000647915_1_00016	CDS	612				hypothetical protein
Sodalis_sp_PSPU_GCA_000647915_1_00017	CDS	603				hypothetical protein
Sodalis_sp_PSPU_GCA_000647915_1_00018	CDS	327				hypothetical protein
Sodalis_sp_PSPU_GCA_000647915_1_00019	CDS	138				hypothetical protein
Sodalis_sp_PSPU_GCA_000647915_1_00020	CDS	468				hypothetical protein
Sodalis_sp_PSPU_GCA_000647915_1_00021	CDS	477				hypothetical protein
Sodalis_sp_PSPU_GCA_000647915_1_00022	CDS	357				hypothetical protein
Sodalis_sp_PSPU_GCA_000647915_1_00023	CDS	198				hypothetical protein
Sodalis_sp_PSPU_GCA_000647915_1_00024	CDS	243				hypothetical protein
Sodalis_sp_PSPU_GCA_000647915_1_00025	CDS	198				hypothetical protein
Sodalis_sp_PSPU_GCA_000647915_1_00026	CDS	192				hypothetical protein
Sodalis_sp_PSPU_GCA_000647915_1_00027	CDS	348				hypothetical protein
Sodalis_sp_PSPU_GCA_000647915_1_00028	CDS	513				hypothetical protein
Sodalis_sp_PSPU_GCA_000647915_1_00029	CDS	417				hypothetical protein
Sodalis_sp_PSPU_GCA_000647915_1_00030	CDS	255				hypothetical protein
Sodalis_sp_PSPU_GCA_000647915_1_00031	CDS	1077				hypothetical protein
Sodalis_sp_PSPU_GCA_000647915_1_00032	CDS	270				hypothetical protein
Sodalis_sp_PSPU_GCA_000647915_1_00033	CDS	1566				hypothetical protein
Sodalis_sp_PSPU_GCA_000647915_1_00034	CDS	609				hypothetical protein
Sodalis_sp_PSPU_GCA_000647915_1_00035	CDS	705				hypothetical protein
Sodalis_sp_PSPU_GCA_000647915_1_00036	CDS	180				hypothetical protein
Sodalis_sp_PSPU_GCA_000647915_1_00037	CDS	657	srlR		COG1349	Glucitol operon repressor
Sodalis_sp_PSPU_GCA_000647915_1_00038	CDS	975	gutQ	5.3.1.13	COG0517	Arabinose 5-phosphate isomerase GutQ
Sodalis_sp_PSPU_GCA_000647915_1_00039	CDS	207				hypothetical protein
Sodalis_sp_PSPU_GCA_000647915_1_00040	CDS	213				hypothetical protein
Sodalis_sp_PSPU_GCA_000647915_1_00041	CDS	888				hypothetical protein
Sodalis_sp_PSPU_GCA_000647915_1_00042	CDS	1251	intA		COG0582	Prophage integrase IntA
