locus_tag	ftype	length_bp	gene	EC_number	COG	product
GIPEGOCE_00001	CDS	522				hypothetical protein
GIPEGOCE_00002	CDS	510				hypothetical protein
GIPEGOCE_00003	CDS	456	yfcA		COG0730	putative membrane transporter protein YfcA
GIPEGOCE_00004	CDS	555	epmC	1.14.-.-	COG3101	Elongation factor P hydroxylase
GIPEGOCE_00005	CDS	276				hypothetical protein
GIPEGOCE_00006	CDS	558	quiA_1	1.1.5.8	COG4993	Quinate/shikimate dehydrogenase (quinone)
GIPEGOCE_00007	CDS	270	yihD		COG3084	Protein YihD
GIPEGOCE_00008	CDS	174	mobA_1	2.7.7.77		Molybdenum cofactor guanylyltransferase
GIPEGOCE_00009	CDS	444	mobA_2	2.7.7.77	COG0746	Molybdenum cofactor guanylyltransferase
GIPEGOCE_00010	CDS	138				hypothetical protein
GIPEGOCE_00011	CDS	396	mobB		COG1763	Molybdopterin-guanine dinucleotide biosynthesis adapter protein
GIPEGOCE_00012	CDS	621	rlmF	2.1.1.181	COG3129	Ribosomal RNA large subunit methyltransferase F
GIPEGOCE_00013	CDS	399	ybiT_1		COG0488	putative ABC transporter ATP-binding protein YbiT
GIPEGOCE_00014	CDS	744	ybiT_2		COG0488	putative ABC transporter ATP-binding protein YbiT
GIPEGOCE_00015	CDS	462	ybiT_3		COG0488	putative ABC transporter ATP-binding protein YbiT
GIPEGOCE_00016	CDS	474	ompX		COG3637	Outer membrane protein X
GIPEGOCE_00017	CDS	837				hypothetical protein
GIPEGOCE_00018	CDS	384		2.7.1.101	COG0524	Tagatose kinase
GIPEGOCE_00019	CDS	723				hypothetical protein
GIPEGOCE_00020	CDS	366				hypothetical protein
GIPEGOCE_00021	CDS	855	pldA	3.1.1.32	COG2829	Phospholipase A1
GIPEGOCE_00022	CDS	588	xylB_1	2.7.1.17	COG1070	Xylulose kinase
GIPEGOCE_00023	CDS	723	xylR_1			Xylose operon regulatory protein
GIPEGOCE_00024	CDS	465	xylR_2			Xylose operon regulatory protein
GIPEGOCE_00025	CDS	969	trxB	1.8.1.9	COG0492	Thioredoxin reductase
GIPEGOCE_00026	CDS	498	lrp		COG1522	Leucine-responsive regulatory protein
GIPEGOCE_00027	CDS	123				hypothetical protein
GIPEGOCE_00028	CDS	318	acnA_1	4.2.1.3	COG1048	Aconitate hydratase A
GIPEGOCE_00029	CDS	474				hypothetical protein
GIPEGOCE_00030	CDS	426	acnA_2	4.2.1.3	COG1048	Aconitate hydratase A
GIPEGOCE_00031	CDS	975	cysB			HTH-type transcriptional regulator CysB
GIPEGOCE_00032	CDS	477	topA_1	5.6.2.1	COG0550	DNA topoisomerase 1
GIPEGOCE_00033	CDS	2229	topA_2	5.6.2.1	COG0550	DNA topoisomerase 1
GIPEGOCE_00034	CDS	252	yciN			Protein YciN
GIPEGOCE_00035	CDS	1047	sohB	3.4.21.-	COG0616	putative protease SohB
GIPEGOCE_00036	CDS	561	yciK	1.-.-.-	COG1028	putative oxidoreductase YciK
GIPEGOCE_00037	CDS	672	tesA	3.1.2.2	COG2755	Thioesterase 1/protease 1/lysophospholipase L1
GIPEGOCE_00038	CDS	294				hypothetical protein
GIPEGOCE_00039	CDS	666	cnoX_1		COG3118	Chaperedoxin
GIPEGOCE_00040	CDS	231	cnoX_2		COG3118	Chaperedoxin
GIPEGOCE_00041	CDS	918	qmcA		COG0330	Protein QmcA
GIPEGOCE_00042	CDS	459	ybbJ		COG1585	Inner membrane protein YbbJ
GIPEGOCE_00043	CDS	348	cueR		COG0789	HTH-type transcriptional regulator CueR
GIPEGOCE_00044	CDS	507				hypothetical protein
GIPEGOCE_00045	CDS	1029				hypothetical protein
GIPEGOCE_00046	CDS	231	copA_1	7.2.2.8	COG2217	Copper-exporting P-type ATPase
GIPEGOCE_00047	CDS	1692				hypothetical protein
GIPEGOCE_00048	CDS	1386	xanP		COG2233	Xanthine permease XanP
GIPEGOCE_00049	CDS	183				hypothetical protein
GIPEGOCE_00050	CDS	654		2.7.1.-		putative ketoamine kinase
GIPEGOCE_00051	CDS	123				hypothetical protein
GIPEGOCE_00052	CDS	978				hypothetical protein
GIPEGOCE_00053	CDS	198				hypothetical protein
GIPEGOCE_00054	CDS	405				hypothetical protein
GIPEGOCE_00055	CDS	654	aas		COG0204	Bifunctional protein Aas
GIPEGOCE_00056	CDS	312				hypothetical protein
GIPEGOCE_00057	CDS	261	mcbA			putative protein McbA
GIPEGOCE_00058	CDS	777				hypothetical protein
GIPEGOCE_00059	CDS	312				hypothetical protein
GIPEGOCE_00060	CDS	651				hypothetical protein
GIPEGOCE_00061	CDS	987	ygfZ		COG0354	tRNA-modifying protein YgfZ
GIPEGOCE_00062	CDS	267	sdhE			FAD assembly factor SdhE
GIPEGOCE_00063	CDS	330	ygfX			Inner membrane protein YgfX
GIPEGOCE_00064	CDS	519	fldB		COG0716	Flavodoxin 2
GIPEGOCE_00065	CDS	900	xerD_1		COG4974	Tyrosine recombinase XerD
GIPEGOCE_00066	CDS	717	dsbC		COG1651	Thiol:disulfide interchange protein DsbC
GIPEGOCE_00067	CDS	183				hypothetical protein
GIPEGOCE_00068	CDS	258				hypothetical protein
GIPEGOCE_00069	CDS	513	cusS	2.7.13.3	COG0642	Sensor histidine kinase CusS
GIPEGOCE_00070	CDS	858	ureD			Urease accessory protein UreD
GIPEGOCE_00071	CDS	234	ureA_1	3.5.1.5		Urease subunit gamma
GIPEGOCE_00072	CDS	96	ureA_2	3.5.1.5		Urease subunit gamma
GIPEGOCE_00073	CDS	183	ureB	3.5.1.5		Urease subunit beta
GIPEGOCE_00074	CDS	942	ureC	3.5.1.5		Urease subunit alpha
GIPEGOCE_00075	CDS	189				hypothetical protein
GIPEGOCE_00076	CDS	273				hypothetical protein
GIPEGOCE_00077	CDS	417				hypothetical protein
GIPEGOCE_00078	CDS	381				hypothetical protein
GIPEGOCE_00079	CDS	2127	rlmL		COG0116	Ribosomal RNA large subunit methyltransferase K/L
GIPEGOCE_00080	CDS	183				hypothetical protein
GIPEGOCE_00081	CDS	597	cycA			D-serine/D-alanine/glycine transporter
GIPEGOCE_00082	CDS	1833	dld	1.1.5.12	COG0277	Quinone-dependent D-lactate dehydrogenase
GIPEGOCE_00083	CDS	2307	fecA		COG4772	Fe(3+) dicitrate transport protein FecA
GIPEGOCE_00084	CDS	642	pyrE	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
GIPEGOCE_00085	CDS	597	slmA_1			Nucleoid occlusion factor SlmA
GIPEGOCE_00086	CDS	459	dut	3.6.1.23	COG0756	Deoxyuridine 5'-triphosphate nucleotidohydrolase
GIPEGOCE_00087	CDS	843	coaBC		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
GIPEGOCE_00088	CDS	318				hypothetical protein
GIPEGOCE_00089	CDS	273				hypothetical protein
GIPEGOCE_00090	CDS	306	cydD		COG4988	ATP-binding/permease protein CydD
GIPEGOCE_00091	CDS	528				hypothetical protein
GIPEGOCE_00092	CDS	918	lpxC	3.5.1.108	COG0774	UDP-3-O-acyl-N-acetylglucosamine deacetylase
GIPEGOCE_00093	CDS	1161	ftsZ		COG0206	Cell division protein FtsZ
GIPEGOCE_00094	CDS	456	ftsA		COG0849	Cell division protein FtsA
GIPEGOCE_00095	CDS	633				hypothetical protein
GIPEGOCE_00096	tRNA	76				tRNA-Phe(gaa)
GIPEGOCE_00097	CDS	576				hypothetical protein
GIPEGOCE_00098	CDS	375	dsbD	1.8.1.8	COG4232	Thiol:disulfide interchange protein DsbD
GIPEGOCE_00099	CDS	777	xylB_2	2.7.1.17	COG1070	Xylulose kinase
GIPEGOCE_00100	CDS	978	sbnD			Staphyloferrin B transporter
GIPEGOCE_00101	CDS	588	sgrR_1		COG4533	HTH-type transcriptional regulator SgrR
GIPEGOCE_00102	CDS	1110	sgrR_2		COG4533	HTH-type transcriptional regulator SgrR
GIPEGOCE_00103	CDS	513	thiB		COG4143	Thiamine-binding periplasmic protein
GIPEGOCE_00104	CDS	276				hypothetical protein
GIPEGOCE_00105	CDS	333	btuD_1	7.6.2.8	COG4138	Vitamin B12 import ATP-binding protein BtuD
GIPEGOCE_00106	CDS	468	mepS_1	3.4.-.-	COG0791	Murein DD-endopeptidase MepS/Murein LD-carboxypeptidase
GIPEGOCE_00107	CDS	810	lplA	6.3.1.20	COG0095	Lipoate-protein ligase A
GIPEGOCE_00108	CDS	723				hypothetical protein
GIPEGOCE_00109	CDS	297	dusA	1.3.1.-	COG0042	tRNA-dihydrouridine(20/20a) synthase
GIPEGOCE_00110	CDS	594				hypothetical protein
GIPEGOCE_00111	CDS	1275				hypothetical protein
GIPEGOCE_00112	CDS	300				hypothetical protein
GIPEGOCE_00113	CDS	1137	rlmG	2.1.1.174	COG2813	Ribosomal RNA large subunit methyltransferase G
GIPEGOCE_00114	CDS	1059	iolU	1.1.1.371	COG0673	scyllo-inositol 2-dehydrogenase (NADP(+)) IolU
GIPEGOCE_00115	CDS	426				hypothetical protein
GIPEGOCE_00116	CDS	477				hypothetical protein
GIPEGOCE_00117	CDS	699	aroE_1	1.1.1.25		Shikimate dehydrogenase (NADP(+))
GIPEGOCE_00118	CDS	576	glgX_1	3.2.1.196	COG1523	Glycogen debranching enzyme
GIPEGOCE_00119	CDS	1047	glgX_2	3.2.1.-	COG1523	Glycogen operon protein GlgX 
GIPEGOCE_00120	CDS	615	glgX_3	3.2.1.-	COG1523	Glycogen operon protein GlgX 
GIPEGOCE_00121	CDS	1239				hypothetical protein
GIPEGOCE_00122	CDS	570	tsx		COG3248	Nucleoside-specific channel-forming protein Tsx
GIPEGOCE_00123	CDS	297	yciI		COG2350	Protein YciI
GIPEGOCE_00124	CDS	282				hypothetical protein
GIPEGOCE_00125	CDS	438	kbp		COG1652	Potassium binding protein Kbp
GIPEGOCE_00126	CDS	297				hypothetical protein
GIPEGOCE_00127	CDS	582	yggR		COG2805	putative protein YggR
GIPEGOCE_00128	CDS	378				hypothetical protein
GIPEGOCE_00129	CDS	954				hypothetical protein
GIPEGOCE_00130	CDS	459	slyA_1		COG1846	Transcriptional regulator SlyA
GIPEGOCE_00131	CDS	999	mglB		COG1879	D-galactose-binding periplasmic protein
