locus_tag	ftype	length_bp	gene	EC_number	COG	product
Dickeya_dadantii_XJ12_GCF_030168535_1_00001	CDS	285				hypothetical protein
Dickeya_dadantii_XJ12_GCF_030168535_1_00002	CDS	249	tar_1		COG0840	Methyl-accepting chemotaxis protein II
Dickeya_dadantii_XJ12_GCF_030168535_1_00003	CDS	1077	mcpQ		COG0840	Methyl-accepting chemotaxis protein McpQ
Dickeya_dadantii_XJ12_GCF_030168535_1_00004	CDS	864				hypothetical protein
Dickeya_dadantii_XJ12_GCF_030168535_1_00005	CDS	132				hypothetical protein
Dickeya_dadantii_XJ12_GCF_030168535_1_00006	CDS	549				hypothetical protein
Dickeya_dadantii_XJ12_GCF_030168535_1_00007	CDS	243				hypothetical protein
Dickeya_dadantii_XJ12_GCF_030168535_1_00008	CDS	225	traR_1			Protein TraR
Dickeya_dadantii_XJ12_GCF_030168535_1_00009	CDS	1404				hypothetical protein
Dickeya_dadantii_XJ12_GCF_030168535_1_00010	CDS	639				hypothetical protein
Dickeya_dadantii_XJ12_GCF_030168535_1_00011	CDS	222				hypothetical protein
Dickeya_dadantii_XJ12_GCF_030168535_1_00012	CDS	204				hypothetical protein
Dickeya_dadantii_XJ12_GCF_030168535_1_00013	CDS	462				hypothetical protein
Dickeya_dadantii_XJ12_GCF_030168535_1_00014	CDS	762				hypothetical protein
Dickeya_dadantii_XJ12_GCF_030168535_1_00015	CDS	735				hypothetical protein
Dickeya_dadantii_XJ12_GCF_030168535_1_00016	CDS	351				hypothetical protein
Dickeya_dadantii_XJ12_GCF_030168535_1_00017	CDS	909				hypothetical protein
Dickeya_dadantii_XJ12_GCF_030168535_1_00018	CDS	612				hypothetical protein
Dickeya_dadantii_XJ12_GCF_030168535_1_00019	CDS	1161				hypothetical protein
Dickeya_dadantii_XJ12_GCF_030168535_1_00020	CDS	567	smrA_1	3.1.-.-	COG2840	putative DNA endonuclease SmrA
Dickeya_dadantii_XJ12_GCF_030168535_1_00021	CDS	1347	pcaK_1		COG0477	4-hydroxybenzoate transporter PcaK
Dickeya_dadantii_XJ12_GCF_030168535_1_00022	CDS	675				hypothetical protein
Dickeya_dadantii_XJ12_GCF_030168535_1_00023	CDS	180				hypothetical protein
Dickeya_dadantii_XJ12_GCF_030168535_1_00024	CDS	435				hypothetical protein
Dickeya_dadantii_XJ12_GCF_030168535_1_00025	CDS	531				hypothetical protein
Dickeya_dadantii_XJ12_GCF_030168535_1_00026	CDS	570	hin_1		COG1961	DNA-invertase hin
Dickeya_dadantii_XJ12_GCF_030168535_1_00027	CDS	192				hypothetical protein
Dickeya_dadantii_XJ12_GCF_030168535_1_00028	CDS	492				hypothetical protein
Dickeya_dadantii_XJ12_GCF_030168535_1_00029	CDS	615	tfaE_1			Prophage tail fiber assembly protein TfaE
Dickeya_dadantii_XJ12_GCF_030168535_1_00030	CDS	1170	gpFI_1			Putative prophage major tail sheath protein
Dickeya_dadantii_XJ12_GCF_030168535_1_00031	CDS	519				hypothetical protein
Dickeya_dadantii_XJ12_GCF_030168535_1_00032	CDS	291				hypothetical protein
Dickeya_dadantii_XJ12_GCF_030168535_1_00033	CDS	951				hypothetical protein
Dickeya_dadantii_XJ12_GCF_030168535_1_00034	CDS	495				hypothetical protein
Dickeya_dadantii_XJ12_GCF_030168535_1_00035	CDS	1179				hypothetical protein
Dickeya_dadantii_XJ12_GCF_030168535_1_00036	CDS	192				hypothetical protein
Dickeya_dadantii_XJ12_GCF_030168535_1_00037	CDS	1317	guaD	3.5.4.3	COG0402	Guanine deaminase
Dickeya_dadantii_XJ12_GCF_030168535_1_00038	CDS	1815				hypothetical protein
Dickeya_dadantii_XJ12_GCF_030168535_1_00039	CDS	1686	tsr_1		COG0840	Methyl-accepting chemotaxis protein I
Dickeya_dadantii_XJ12_GCF_030168535_1_00040	CDS	327				hypothetical protein
Dickeya_dadantii_XJ12_GCF_030168535_1_00041	CDS	1545	aer_1		COG0840	Aerotaxis receptor
Dickeya_dadantii_XJ12_GCF_030168535_1_00042	CDS	300				hypothetical protein
Dickeya_dadantii_XJ12_GCF_030168535_1_00043	CDS	687	pphA_1	3.1.3.16	COG0639	Serine/threonine-protein phosphatase 1
Dickeya_dadantii_XJ12_GCF_030168535_1_00044	CDS	1275	clcA_1		COG0038	H(+)/Cl(-) exchange transporter ClcA
