locus_tag	ftype	length_bp	gene	EC_number	COG	product
Sodalis_praecaptivus_HS1_GCF_000517425_1_00001	CDS	1890	mnmG		COG0445	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
Sodalis_praecaptivus_HS1_GCF_000517425_1_00002	CDS	621	rsmG	2.1.1.170	COG0357	Ribosomal RNA small subunit methyltransferase G
Sodalis_praecaptivus_HS1_GCF_000517425_1_00003	CDS	381	atpI		COG3312	ATP synthase protein I
Sodalis_praecaptivus_HS1_GCF_000517425_1_00004	CDS	819	atpB		COG0356	ATP synthase subunit a
Sodalis_praecaptivus_HS1_GCF_000517425_1_00005	CDS	240	atpE		COG0636	ATP synthase subunit c
Sodalis_praecaptivus_HS1_GCF_000517425_1_00006	CDS	471	atpF		COG0711	ATP synthase subunit b
Sodalis_praecaptivus_HS1_GCF_000517425_1_00007	CDS	534	atpH		COG0712	ATP synthase subunit delta
Sodalis_praecaptivus_HS1_GCF_000517425_1_00008	CDS	1542	atpA	7.1.2.2		ATP synthase subunit alpha
Sodalis_praecaptivus_HS1_GCF_000517425_1_00009	CDS	864	atpG		COG0224	ATP synthase gamma chain
Sodalis_praecaptivus_HS1_GCF_000517425_1_00010	CDS	1383	atpD	7.1.2.2	COG0055	ATP synthase subunit beta
Sodalis_praecaptivus_HS1_GCF_000517425_1_00011	CDS	423	atpC		COG0355	ATP synthase epsilon chain
Sodalis_praecaptivus_HS1_GCF_000517425_1_00012	CDS	1377	glmU			Bifunctional protein GlmU
Sodalis_praecaptivus_HS1_GCF_000517425_1_00013	CDS	1833	glmS	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
Sodalis_praecaptivus_HS1_GCF_000517425_1_00014	CDS	1194				hypothetical protein
Sodalis_praecaptivus_HS1_GCF_000517425_1_00015	CDS	1041	pstS_1		COG0226	Phosphate-binding protein PstS
Sodalis_praecaptivus_HS1_GCF_000517425_1_00016	CDS	960	pstC		COG0573	Phosphate transport system permease protein PstC
Sodalis_praecaptivus_HS1_GCF_000517425_1_00017	CDS	894	pstA		COG0581	Phosphate transport system permease protein PstA
Sodalis_praecaptivus_HS1_GCF_000517425_1_00018	CDS	777	pstB	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB
Sodalis_praecaptivus_HS1_GCF_000517425_1_00019	CDS	738	phoU		COG0704	Phosphate-specific transport system accessory protein PhoU
Sodalis_praecaptivus_HS1_GCF_000517425_1_00020	CDS	684	yieH_1	3.1.3.-	COG0637	6-phosphogluconate phosphatase
Sodalis_praecaptivus_HS1_GCF_000517425_1_00021	CDS	435	manX_1	2.7.1.191	COG2893	PTS system mannose-specific EIIAB component
Sodalis_praecaptivus_HS1_GCF_000517425_1_00022	CDS	894	manZ_1		COG3716	PTS system mannose-specific EIID component
Sodalis_praecaptivus_HS1_GCF_000517425_1_00023	CDS	768	agaC_1		COG3715	N-acetylgalactosamine permease IIC component 1
Sodalis_praecaptivus_HS1_GCF_000517425_1_00024	CDS	483	sorB	2.7.1.206	COG3444	PTS system sorbose-specific EIIB component
Sodalis_praecaptivus_HS1_GCF_000517425_1_00025	CDS	1200	agaS_1	3.5.99.-	COG2222	D-galactosamine-6-phosphate deaminase AgaS
Sodalis_praecaptivus_HS1_GCF_000517425_1_00026	CDS	774	srlR_1		COG1349	Glucitol operon repressor
Sodalis_praecaptivus_HS1_GCF_000517425_1_00027	CDS	1206				hypothetical protein
Sodalis_praecaptivus_HS1_GCF_000517425_1_00028	CDS	1503	proP_1			Proline/betaine transporter
Sodalis_praecaptivus_HS1_GCF_000517425_1_00029	CDS	1290	arsB		COG1055	Arsenical pump membrane protein
Sodalis_praecaptivus_HS1_GCF_000517425_1_00030	CDS	1368	sauU			putative sulfoacetate transporter SauU
Sodalis_praecaptivus_HS1_GCF_000517425_1_00031	CDS	702		3.5.2.20	COG1878	Isatin hydrolase
Sodalis_praecaptivus_HS1_GCF_000517425_1_00032	CDS	1011	rspB	1.1.1.-	COG1063	Starvation-sensing protein RspB
Sodalis_praecaptivus_HS1_GCF_000517425_1_00033	CDS	1287	exuT_1			Hexuronate transporter
Sodalis_praecaptivus_HS1_GCF_000517425_1_00034	CDS	1473	por_1	1.1.1.-	COG0246	Polyol:NADP oxidoreductase
Sodalis_praecaptivus_HS1_GCF_000517425_1_00035	CDS	687	rspR_1		COG1802	HTH-type transcriptional repressor RspR
Sodalis_praecaptivus_HS1_GCF_000517425_1_00036	CDS	240				hypothetical protein
Sodalis_praecaptivus_HS1_GCF_000517425_1_00037	CDS	708				hypothetical protein
Sodalis_praecaptivus_HS1_GCF_000517425_1_00038	CDS	990	cdhR_1		COG4977	HTH-type transcriptional regulator CdhR
Sodalis_praecaptivus_HS1_GCF_000517425_1_00039	CDS	984				hypothetical protein
Sodalis_praecaptivus_HS1_GCF_000517425_1_00040	CDS	381				hypothetical protein
Sodalis_praecaptivus_HS1_GCF_000517425_1_00041	CDS	1053	hisC_1	2.6.1.9	COG0079	Histidinol-phosphate aminotransferase
Sodalis_praecaptivus_HS1_GCF_000517425_1_00042	CDS	1314				hypothetical protein
Sodalis_praecaptivus_HS1_GCF_000517425_1_00043	CDS	1245				hypothetical protein
Sodalis_praecaptivus_HS1_GCF_000517425_1_00044	CDS	906	cpo	1.11.1.10		Non-heme chloroperoxidase
Sodalis_praecaptivus_HS1_GCF_000517425_1_00045	CDS	384				hypothetical protein
Sodalis_praecaptivus_HS1_GCF_000517425_1_00046	CDS	528			COG1733	putative HTH-type transcriptional regulator
Sodalis_praecaptivus_HS1_GCF_000517425_1_00047	CDS	1272	fabF_1	2.3.1.179		3-oxoacyl-[acyl-carrier-protein] synthase 2
