locus_tag	ftype	length_bp	gene	EC_number	COG	product
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00001	CDS	1329	dnaA		COG0593	Chromosomal replication initiator protein DnaA
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00002	CDS	1104	dnaN		COG0592	Beta sliding clamp
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00003	CDS	1086	recF		COG1195	DNA replication and repair protein RecF
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00004	CDS	2418	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00005	CDS	1125				hypothetical protein
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00006	CDS	2004				hypothetical protein
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00007	CDS	816	yidA	3.1.3.23	COG0561	Sugar phosphatase YidA
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00008	CDS	897				hypothetical protein
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00009	CDS	1551	hbpA		COG0747	Heme-binding protein A
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00010	CDS	885	yjhH	4.1.2.28	COG0329	putative 2-dehydro-3-deoxy-D-pentonate aldolase YjhH
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00011	CDS	954	rihA_1	3.2.-.-	COG1957	Pyrimidine-specific ribonucleoside hydrolase RihA
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00012	CDS	975	rihA_2	3.2.-.-	COG1957	Pyrimidine-specific ribonucleoside hydrolase RihA
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00013	CDS	978	dppB_1		COG0601	Dipeptide transport system permease protein DppB
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00014	CDS	909	oppC_1		COG1173	Oligopeptide transport system permease protein OppC
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00015	CDS	1830	gsiA_1	7.4.2.10	COG1123	Glutathione import ATP-binding protein GsiA
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00016	CDS	699	lutR_1		COG2186	HTH-type transcriptional regulator LutR
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00017	CDS	897	dgoK1_1	2.7.1.58	COG3734	putative 2-dehydro-3-deoxygalactonokinase DgoK1
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00018	CDS	618	dgoA_1	4.1.2.21	COG0800	2-dehydro-3-deoxy-6-phosphogalactonate aldolase
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00019	CDS	1149	dgoD_1	4.2.1.6	COG4948	D-galactonate dehydratase
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00020	CDS	1290	dgoT			D-galactonate transporter
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00021	CDS	261	bhsA_1			Multiple stress resistance protein BhsA
Pectobacterium_cacticida_CFBP3628_GCF_036885195_1_00022	CDS	792	ssuB_1	3.6.3.-	COG1116	Aliphatic sulfonates import ATP-binding protein SsuB
