locus_tag	ftype	length_bp	gene	EC_number	COG	product
Gullanella_endobia_GEFVIR_GCF_900048035_1_00001	CDS	1800	lepA	3.6.5.-	COG0481	Elongation factor 4
Gullanella_endobia_GEFVIR_GCF_900048035_1_00002	CDS	990	lepB	3.4.21.89	COG0681	Signal peptidase I
Gullanella_endobia_GEFVIR_GCF_900048035_1_00003	CDS	681	rnc	3.1.26.3	COG0571	Ribonuclease 3
Gullanella_endobia_GEFVIR_GCF_900048035_1_00004	CDS	906	era		COG1159	GTPase Era
Gullanella_endobia_GEFVIR_GCF_900048035_1_00005	CDS	702	recO		COG1381	DNA repair protein RecO
Gullanella_endobia_GEFVIR_GCF_900048035_1_00006	CDS	732	pdxJ	2.6.99.2	COG0854	Pyridoxine 5'-phosphate synthase
Gullanella_endobia_GEFVIR_GCF_900048035_1_00007	CDS	381	acpS	2.7.8.7	COG0736	Holo-[acyl-carrier-protein] synthase
Gullanella_endobia_GEFVIR_GCF_900048035_1_00008	CDS	501	tadA	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
Gullanella_endobia_GEFVIR_GCF_900048035_1_00009	CDS	1239	glyA	2.1.2.1	COG0112	Serine hydroxymethyltransferase
Gullanella_endobia_GEFVIR_GCF_900048035_1_00010	CDS	801	suhB	3.1.3.25	COG0483	Inositol-1-monophosphatase
Gullanella_endobia_GEFVIR_GCF_900048035_1_00011	CDS	1161	iscS	2.8.1.7	COG1104	Cysteine desulfurase IscS
Gullanella_endobia_GEFVIR_GCF_900048035_1_00012	CDS	198				hypothetical protein
Gullanella_endobia_GEFVIR_GCF_900048035_1_00013	CDS	1278	pepB	3.4.11.23	COG0260	Peptidase B
Gullanella_endobia_GEFVIR_GCF_900048035_1_00014	CDS	597	rodZ			Cytoskeleton protein RodZ
Gullanella_endobia_GEFVIR_GCF_900048035_1_00015	CDS	1275	hisS	6.1.1.21	COG0124	Histidine--tRNA ligase
Gullanella_endobia_GEFVIR_GCF_900048035_1_00016	CDS	510				hypothetical protein
Gullanella_endobia_GEFVIR_GCF_900048035_1_00017	CDS	945	bamB		COG1520	Outer membrane protein assembly factor BamB
Gullanella_endobia_GEFVIR_GCF_900048035_1_00018	CDS	1380	der		COG1160	GTPase Der
Gullanella_endobia_GEFVIR_GCF_900048035_1_00019	tRNA	74				tRNA-Arg(ccg)
Gullanella_endobia_GEFVIR_GCF_900048035_1_00020	tRNA	76				tRNA-His(gtg)
Gullanella_endobia_GEFVIR_GCF_900048035_1_00021	tRNA	85				tRNA-Leu(cag)
Gullanella_endobia_GEFVIR_GCF_900048035_1_00022	tRNA	76				tRNA-Pro(tgg)
Gullanella_endobia_GEFVIR_GCF_900048035_1_00023	CDS	132				hypothetical protein
Gullanella_endobia_GEFVIR_GCF_900048035_1_00024	CDS	150				hypothetical protein
Gullanella_endobia_GEFVIR_GCF_900048035_1_00025	CDS	2169	uvrD	3.6.4.12	COG0210	DNA helicase II
Gullanella_endobia_GEFVIR_GCF_900048035_1_00026	CDS	1107	asd	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
Gullanella_endobia_GEFVIR_GCF_900048035_1_00027	CDS	576	nfuA		COG0316	Fe/S biogenesis protein NfuA
Gullanella_endobia_GEFVIR_GCF_900048035_1_00028	CDS	249				hypothetical protein
Gullanella_endobia_GEFVIR_GCF_900048035_1_00029	CDS	219				hypothetical protein
Gullanella_endobia_GEFVIR_GCF_900048035_1_00030	CDS	1113	mrcA		COG5009	Penicillin-binding protein 1A
Gullanella_endobia_GEFVIR_GCF_900048035_1_00031	CDS	147				hypothetical protein
Gullanella_endobia_GEFVIR_GCF_900048035_1_00032	CDS	561	aroK	2.7.1.71	COG0703	Shikimate kinase 1
Gullanella_endobia_GEFVIR_GCF_900048035_1_00033	CDS	138				hypothetical protein
Gullanella_endobia_GEFVIR_GCF_900048035_1_00034	CDS	657	rpe	5.1.3.1	COG0036	Ribulose-phosphate 3-epimerase
Gullanella_endobia_GEFVIR_GCF_900048035_1_00035	CDS	1035	trpS	6.1.1.2	COG0180	Tryptophan--tRNA ligase
Gullanella_endobia_GEFVIR_GCF_900048035_1_00036	CDS	789	fkpA	5.2.1.8	COG0545	FKBP-type peptidyl-prolyl cis-trans isomerase FkpA
Gullanella_endobia_GEFVIR_GCF_900048035_1_00037	CDS	393	tusD	2.8.1.-	COG1553	Sulfurtransferase TusD
Gullanella_endobia_GEFVIR_GCF_900048035_1_00038	CDS	360	tusC		COG2923	Protein TusC
Gullanella_endobia_GEFVIR_GCF_900048035_1_00039	CDS	288	tusB		COG2168	Protein TusB
Gullanella_endobia_GEFVIR_GCF_900048035_1_00040	CDS	375	rpsL		COG0048	30S ribosomal protein S12
Gullanella_endobia_GEFVIR_GCF_900048035_1_00041	CDS	471	rpsG		COG0049	30S ribosomal protein S7
Gullanella_endobia_GEFVIR_GCF_900048035_1_00042	CDS	2106	fusA		COG0480	Elongation factor G
Gullanella_endobia_GEFVIR_GCF_900048035_1_00043	CDS	1185	tufB_1		COG0050	Elongation factor Tu 2
Gullanella_endobia_GEFVIR_GCF_900048035_1_00044	CDS	384	secE		COG0690	Protein translocase subunit SecE
Gullanella_endobia_GEFVIR_GCF_900048035_1_00045	CDS	546	nusG		COG0250	Transcription termination/antitermination protein NusG
Gullanella_endobia_GEFVIR_GCF_900048035_1_00046	CDS	429	rplK		COG0080	50S ribosomal protein L11
Gullanella_endobia_GEFVIR_GCF_900048035_1_00047	CDS	705	rplA		COG0081	50S ribosomal protein L1
Gullanella_endobia_GEFVIR_GCF_900048035_1_00048	CDS	498	rplJ		COG0244	50S ribosomal protein L10
Gullanella_endobia_GEFVIR_GCF_900048035_1_00049	CDS	369	rplL		COG0222	50S ribosomal protein L7/L12
Gullanella_endobia_GEFVIR_GCF_900048035_1_00050	CDS	4023	rpoB	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
Gullanella_endobia_GEFVIR_GCF_900048035_1_00051	CDS	4206	rpoC	2.7.7.6	COG0086	DNA-directed RNA polymerase subunit beta'
Gullanella_endobia_GEFVIR_GCF_900048035_1_00052	CDS	204	thiH	4.1.99.19	COG1060	2-iminoacetate synthase
Gullanella_endobia_GEFVIR_GCF_900048035_1_00053	CDS	192				hypothetical protein
Gullanella_endobia_GEFVIR_GCF_900048035_1_00054	CDS	231	thiG	2.8.1.10		Thiazole synthase
Gullanella_endobia_GEFVIR_GCF_900048035_1_00055	CDS	657	thiE	2.5.1.3	COG0352	Thiamine-phosphate synthase
Gullanella_endobia_GEFVIR_GCF_900048035_1_00056	CDS	1932	thiC	4.1.99.17	COG0422	Phosphomethylpyrimidine synthase
Gullanella_endobia_GEFVIR_GCF_900048035_1_00057	CDS	273	hupA			DNA-binding protein HU-alpha
Gullanella_endobia_GEFVIR_GCF_900048035_1_00058	CDS	855	lgt	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
Gullanella_endobia_GEFVIR_GCF_900048035_1_00059	CDS	420	recD	3.1.11.5	COG0507	RecBCD enzyme subunit RecD
Gullanella_endobia_GEFVIR_GCF_900048035_1_00060	tRNA	77				tRNA-Met(cat)
Gullanella_endobia_GEFVIR_GCF_900048035_1_00061	CDS	843	queF	1.7.1.13	COG0780	NADPH-dependent 7-cyano-7-deazaguanine reductase
Gullanella_endobia_GEFVIR_GCF_900048035_1_00062	CDS	132				hypothetical protein
Gullanella_endobia_GEFVIR_GCF_900048035_1_00063	CDS	795	map	3.4.11.18	COG0024	Methionine aminopeptidase
Gullanella_endobia_GEFVIR_GCF_900048035_1_00064	CDS	726	rpsB		COG0052	30S ribosomal protein S2
Gullanella_endobia_GEFVIR_GCF_900048035_1_00065	CDS	825	tsf		COG0264	Elongation factor Ts
Gullanella_endobia_GEFVIR_GCF_900048035_1_00066	CDS	771	pyrH	2.7.4.22	COG0528	Uridylate kinase
Gullanella_endobia_GEFVIR_GCF_900048035_1_00067	CDS	558	frr		COG0233	Ribosome-recycling factor
Gullanella_endobia_GEFVIR_GCF_900048035_1_00068	CDS	156				hypothetical protein
Gullanella_endobia_GEFVIR_GCF_900048035_1_00069	CDS	762	ispU	2.5.1.31	COG0020	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
Gullanella_endobia_GEFVIR_GCF_900048035_1_00070	CDS	762	cdsA	2.7.7.41	COG0575	Phosphatidate cytidylyltransferase
Gullanella_endobia_GEFVIR_GCF_900048035_1_00071	CDS	2430	bamA		COG4775	Outer membrane protein assembly factor BamA
Gullanella_endobia_GEFVIR_GCF_900048035_1_00072	CDS	498	skp		COG2825	Chaperone protein Skp
Gullanella_endobia_GEFVIR_GCF_900048035_1_00073	CDS	1023	lpxD	2.3.1.191	COG1044	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
Gullanella_endobia_GEFVIR_GCF_900048035_1_00074	CDS	456	fabZ	4.2.1.59		3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
Gullanella_endobia_GEFVIR_GCF_900048035_1_00075	CDS	816	lpxA	2.3.1.129	COG1043	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
Gullanella_endobia_GEFVIR_GCF_900048035_1_00076	CDS	1149	lpxB	2.4.1.182	COG0763	Lipid-A-disaccharide synthase
Gullanella_endobia_GEFVIR_GCF_900048035_1_00077	CDS	3483	dnaE	2.7.7.7	COG0587	DNA polymerase III subunit alpha
Gullanella_endobia_GEFVIR_GCF_900048035_1_00078	CDS	954	accA	2.1.3.15	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
Gullanella_endobia_GEFVIR_GCF_900048035_1_00079	CDS	114				hypothetical protein
Gullanella_endobia_GEFVIR_GCF_900048035_1_00080	CDS	1533	tilS	6.3.4.19		tRNA(Ile)-lysidine synthase
Gullanella_endobia_GEFVIR_GCF_900048035_1_00081	CDS	144				hypothetical protein
Gullanella_endobia_GEFVIR_GCF_900048035_1_00082	CDS	1725	proS	6.1.1.15	COG0442	Proline--tRNA ligase
Gullanella_endobia_GEFVIR_GCF_900048035_1_00083	tRNA	77				tRNA-Asp(gtc)
Gullanella_endobia_GEFVIR_GCF_900048035_1_00084	CDS	774	gloB	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase
Gullanella_endobia_GEFVIR_GCF_900048035_1_00085	CDS	468	rnhA	3.1.26.4	COG0328	Ribonuclease HI
Gullanella_endobia_GEFVIR_GCF_900048035_1_00086	CDS	750	dnaQ	2.7.7.7	COG0847	DNA polymerase III subunit epsilon
Gullanella_endobia_GEFVIR_GCF_900048035_1_00087	tRNA	76				tRNA-Thr(cgt)
Gullanella_endobia_GEFVIR_GCF_900048035_1_00088	CDS	1065	queA	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
Gullanella_endobia_GEFVIR_GCF_900048035_1_00089	CDS	1140	tgt	2.4.2.29	COG0343	Queuine tRNA-ribosyltransferase
Gullanella_endobia_GEFVIR_GCF_900048035_1_00090	CDS	333	yajC		COG1862	Sec translocon accessory complex subunit YajC
Gullanella_endobia_GEFVIR_GCF_900048035_1_00091	CDS	471	ribE	2.5.1.78	COG0054	6,7-dimethyl-8-ribityllumazine synthase
Gullanella_endobia_GEFVIR_GCF_900048035_1_00092	CDS	426	nusB		COG0781	Transcription antitermination protein NusB
Gullanella_endobia_GEFVIR_GCF_900048035_1_00093	CDS	492	pgpA	3.1.3.27	COG1267	Phosphatidylglycerophosphatase A
Gullanella_endobia_GEFVIR_GCF_900048035_1_00094	CDS	93				hypothetical protein
Gullanella_endobia_GEFVIR_GCF_900048035_1_00095	CDS	1869	dxs	2.2.1.7	COG1154	1-deoxy-D-xylulose-5-phosphate synthase
Gullanella_endobia_GEFVIR_GCF_900048035_1_00096	CDS	90				hypothetical protein
Gullanella_endobia_GEFVIR_GCF_900048035_1_00097	CDS	171				hypothetical protein
Gullanella_endobia_GEFVIR_GCF_900048035_1_00098	CDS	570	clpP	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
Gullanella_endobia_GEFVIR_GCF_900048035_1_00099	CDS	1278	clpX		COG1219	ATP-dependent Clp protease ATP-binding subunit ClpX
Gullanella_endobia_GEFVIR_GCF_900048035_1_00100	CDS	2361	lon	3.4.21.53	COG0466	Lon protease
Gullanella_endobia_GEFVIR_GCF_900048035_1_00101	CDS	1872	ppiD	5.2.1.8	COG0760	Peptidyl-prolyl cis-trans isomerase D
Gullanella_endobia_GEFVIR_GCF_900048035_1_00102	CDS	696	queC	6.3.4.20	COG0603	7-cyano-7-deazaguanine synthase
Gullanella_endobia_GEFVIR_GCF_900048035_1_00103	CDS	2103				hypothetical protein
Gullanella_endobia_GEFVIR_GCF_900048035_1_00104	CDS	330	ybaB		COG0718	Nucleoid-associated protein YbaB
Gullanella_endobia_GEFVIR_GCF_900048035_1_00105	CDS	606	recR		COG0353	Recombination protein RecR
Gullanella_endobia_GEFVIR_GCF_900048035_1_00106	CDS	648	adk	2.7.4.3	COG0563	Adenylate kinase
Gullanella_endobia_GEFVIR_GCF_900048035_1_00107	CDS	1086	hemH	4.99.1.1	COG0276	Ferrochelatase
Gullanella_endobia_GEFVIR_GCF_900048035_1_00108	CDS	720	lpxH	3.6.1.54	COG2908	UDP-2,3-diacylglucosamine hydrolase
Gullanella_endobia_GEFVIR_GCF_900048035_1_00109	CDS	1377	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
Gullanella_endobia_GEFVIR_GCF_900048035_1_00110	CDS	864	folD		COG0190	Bifunctional protein FolD protein
Gullanella_endobia_GEFVIR_GCF_900048035_1_00111	tRNA	77				tRNA-Arg(tct)
Gullanella_endobia_GEFVIR_GCF_900048035_1_00112	CDS	2787	polA	2.7.7.7	COG0258	DNA polymerase I
Gullanella_endobia_GEFVIR_GCF_900048035_1_00113	CDS	627	engB		COG0218	putative GTP-binding protein EngB
Gullanella_endobia_GEFVIR_GCF_900048035_1_00114	CDS	1806	typA		COG1217	GTP-binding protein TypA/BipA
Gullanella_endobia_GEFVIR_GCF_900048035_1_00115	CDS	1107	ychF		COG0012	Ribosome-binding ATPase YchF
Gullanella_endobia_GEFVIR_GCF_900048035_1_00116	CDS	582	pth	3.1.1.29	COG0193	Peptidyl-tRNA hydrolase
Gullanella_endobia_GEFVIR_GCF_900048035_1_00117	CDS	942	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
Gullanella_endobia_GEFVIR_GCF_900048035_1_00118	CDS	516	lolB		COG3017	Outer-membrane lipoprotein LolB
Gullanella_endobia_GEFVIR_GCF_900048035_1_00119	CDS	1083	prfA		COG0216	Peptide chain release factor RF1
Gullanella_endobia_GEFVIR_GCF_900048035_1_00120	CDS	858	prmC	2.1.1.297	COG2890	Release factor glutamine methyltransferase
Gullanella_endobia_GEFVIR_GCF_900048035_1_00121	CDS	852	kdsA	2.5.1.55	COG2877	2-dehydro-3-deoxyphosphooctonate aldolase
Gullanella_endobia_GEFVIR_GCF_900048035_1_00122	CDS	129				hypothetical protein
Gullanella_endobia_GEFVIR_GCF_900048035_1_00123	CDS	1923	thrS	6.1.1.3	COG0441	Threonine--tRNA ligase
Gullanella_endobia_GEFVIR_GCF_900048035_1_00124	CDS	462	infC		COG0290	Translation initiation factor IF-3
Gullanella_endobia_GEFVIR_GCF_900048035_1_00125	CDS	198	rpmI		COG0291	50S ribosomal protein L35
Gullanella_endobia_GEFVIR_GCF_900048035_1_00126	CDS	357	rplT		COG0292	50S ribosomal protein L20
Gullanella_endobia_GEFVIR_GCF_900048035_1_00127	CDS	93				hypothetical protein
Gullanella_endobia_GEFVIR_GCF_900048035_1_00128	CDS	1005	pheS	6.1.1.20	COG0016	Phenylalanine--tRNA ligase alpha subunit
Gullanella_endobia_GEFVIR_GCF_900048035_1_00129	CDS	2388	pheT	6.1.1.20	COG0072	Phenylalanine--tRNA ligase beta subunit
Gullanella_endobia_GEFVIR_GCF_900048035_1_00130	CDS	303	ihfA		COG0776	Integration host factor subunit alpha
Gullanella_endobia_GEFVIR_GCF_900048035_1_00131	CDS	177				hypothetical protein
Gullanella_endobia_GEFVIR_GCF_900048035_1_00132	CDS	387	sufA		COG0316	Protein SufA
Gullanella_endobia_GEFVIR_GCF_900048035_1_00133	CDS	1512	sufB		COG0719	FeS cluster assembly protein SufB
Gullanella_endobia_GEFVIR_GCF_900048035_1_00134	CDS	738	sufC		COG0396	putative ATP-dependent transporter SufC
Gullanella_endobia_GEFVIR_GCF_900048035_1_00135	CDS	1272	sufD		COG0719	FeS cluster assembly protein SufD
Gullanella_endobia_GEFVIR_GCF_900048035_1_00136	CDS	1224	sufS	2.8.1.7	COG0520	Cysteine desulfurase
Gullanella_endobia_GEFVIR_GCF_900048035_1_00137	CDS	417	sufE		COG2166	Cysteine desulfuration protein SufE
Gullanella_endobia_GEFVIR_GCF_900048035_1_00138	CDS	1413	pykF	2.7.1.40	COG0469	Pyruvate kinase I
Gullanella_endobia_GEFVIR_GCF_900048035_1_00139	tRNA	77				tRNA-Val(gac)
Gullanella_endobia_GEFVIR_GCF_900048035_1_00140	CDS	336	grxD		COG0278	Glutaredoxin 4
Gullanella_endobia_GEFVIR_GCF_900048035_1_00141	CDS	705	rnt	3.1.13.-	COG0847	Ribonuclease T
Gullanella_endobia_GEFVIR_GCF_900048035_1_00142	CDS	1278	tyrS	6.1.1.1	COG0162	Tyrosine--tRNA ligase
Gullanella_endobia_GEFVIR_GCF_900048035_1_00143	CDS	636	nth	4.2.99.18	COG0177	Endonuclease III
Gullanella_endobia_GEFVIR_GCF_900048035_1_00144	CDS	165				hypothetical protein
Gullanella_endobia_GEFVIR_GCF_900048035_1_00145	CDS	849	manZ		COG3716	PTS system mannose-specific EIID component
Gullanella_endobia_GEFVIR_GCF_900048035_1_00146	CDS	807	manY		COG3715	PTS system mannose-specific EIIC component
Gullanella_endobia_GEFVIR_GCF_900048035_1_00147	CDS	963	manX	2.7.1.191	COG2893	PTS system mannose-specific EIIAB component
Gullanella_endobia_GEFVIR_GCF_900048035_1_00148	CDS	120				hypothetical protein
Gullanella_endobia_GEFVIR_GCF_900048035_1_00149	CDS	1554				hypothetical protein
Gullanella_endobia_GEFVIR_GCF_900048035_1_00150	CDS	108				hypothetical protein
Gullanella_endobia_GEFVIR_GCF_900048035_1_00151	CDS	126				hypothetical protein
Gullanella_endobia_GEFVIR_GCF_900048035_1_00152	CDS	702	tsaB		COG1214	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
Gullanella_endobia_GEFVIR_GCF_900048035_1_00153	CDS	267	minE		COG0851	Cell division topological specificity factor
Gullanella_endobia_GEFVIR_GCF_900048035_1_00154	CDS	813	minD		COG2894	Septum site-determining protein MinD
Gullanella_endobia_GEFVIR_GCF_900048035_1_00155	CDS	687	minC		COG0850	Septum site-determining protein MinC
Gullanella_endobia_GEFVIR_GCF_900048035_1_00156	CDS	516	dsbB		COG1495	Disulfide bond formation protein B
Gullanella_endobia_GEFVIR_GCF_900048035_1_00157	CDS	1737	cvrA		COG3263	K(+)/H(+) antiporter NhaP2
Gullanella_endobia_GEFVIR_GCF_900048035_1_00158	CDS	1005	gapA	1.2.1.12	COG0057	Glyceraldehyde-3-phosphate dehydrogenase A
Gullanella_endobia_GEFVIR_GCF_900048035_1_00159	CDS	807	xthA	3.1.11.2	COG0708	Exodeoxyribonuclease III
Gullanella_endobia_GEFVIR_GCF_900048035_1_00160	CDS	408	hns			DNA-binding protein H-NS
Gullanella_endobia_GEFVIR_GCF_900048035_1_00161	CDS	1461	clsA	2.7.8.-	COG1502	Cardiolipin synthase A
Gullanella_endobia_GEFVIR_GCF_900048035_1_00162	CDS	753				hypothetical protein
Gullanella_endobia_GEFVIR_GCF_900048035_1_00163	CDS	807	trpA	4.2.1.20	COG0159	Tryptophan synthase alpha chain
Gullanella_endobia_GEFVIR_GCF_900048035_1_00164	CDS	1191	trpB	4.2.1.20	COG0133	Tryptophan synthase beta chain
