locus_tag	ftype	length_bp	gene	EC_number	COG	product
Sodalis_pierantonius_SOPE_GCF_000517405_1_00001	CDS	1890	mnmG		COG0445	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
Sodalis_pierantonius_SOPE_GCF_000517405_1_00002	CDS	621	rsmG	2.1.1.170	COG0357	Ribosomal RNA small subunit methyltransferase G
Sodalis_pierantonius_SOPE_GCF_000517405_1_00003	CDS	375	atpI		COG3312	ATP synthase protein I
Sodalis_pierantonius_SOPE_GCF_000517405_1_00004	CDS	819	atpB		COG0356	ATP synthase subunit a
Sodalis_pierantonius_SOPE_GCF_000517405_1_00005	CDS	240	atpE		COG0636	ATP synthase subunit c
Sodalis_pierantonius_SOPE_GCF_000517405_1_00006	CDS	471	atpF		COG0711	ATP synthase subunit b
Sodalis_pierantonius_SOPE_GCF_000517405_1_00007	CDS	534	atpH		COG0712	ATP synthase subunit delta
Sodalis_pierantonius_SOPE_GCF_000517405_1_00008	CDS	1542	atpA	7.1.2.2		ATP synthase subunit alpha
Sodalis_pierantonius_SOPE_GCF_000517405_1_00009	CDS	864	atpG		COG0224	ATP synthase gamma chain
Sodalis_pierantonius_SOPE_GCF_000517405_1_00010	CDS	1383	atpD	7.1.2.2	COG0055	ATP synthase subunit beta
Sodalis_pierantonius_SOPE_GCF_000517405_1_00011	CDS	423	atpC		COG0355	ATP synthase epsilon chain
Sodalis_pierantonius_SOPE_GCF_000517405_1_00012	CDS	1209				IS256 family transposase ISSoEn2
Sodalis_pierantonius_SOPE_GCF_000517405_1_00013	CDS	741				IS21 family transposase ISPpu7
Sodalis_pierantonius_SOPE_GCF_000517405_1_00014	CDS	318				hypothetical protein
Sodalis_pierantonius_SOPE_GCF_000517405_1_00015	CDS	243				hypothetical protein
Sodalis_pierantonius_SOPE_GCF_000517405_1_00016	CDS	561				IS21 family transposase ISSoEn3
Sodalis_pierantonius_SOPE_GCF_000517405_1_00017	CDS	1188				hypothetical protein
Sodalis_pierantonius_SOPE_GCF_000517405_1_00018	CDS	1377	glmU			Bifunctional protein GlmU
Sodalis_pierantonius_SOPE_GCF_000517405_1_00019	CDS	1833	glmS	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
Sodalis_pierantonius_SOPE_GCF_000517405_1_00020	CDS	144				hypothetical protein
Sodalis_pierantonius_SOPE_GCF_000517405_1_00021	CDS	1026				hypothetical protein
Sodalis_pierantonius_SOPE_GCF_000517405_1_00022	CDS	924			COG3039	IS5 family transposase ISSoEn1
Sodalis_pierantonius_SOPE_GCF_000517405_1_00023	CDS	735			COG3039	IS5 family transposase ISSoEn1
Sodalis_pierantonius_SOPE_GCF_000517405_1_00024	CDS	225			COG3039	IS5 family transposase ISSoEn1
Sodalis_pierantonius_SOPE_GCF_000517405_1_00025	CDS	726				hypothetical protein
Sodalis_pierantonius_SOPE_GCF_000517405_1_00026	CDS	672				hypothetical protein
Sodalis_pierantonius_SOPE_GCF_000517405_1_00027	CDS	459				hypothetical protein
Sodalis_pierantonius_SOPE_GCF_000517405_1_00028	CDS	225				hypothetical protein
Sodalis_pierantonius_SOPE_GCF_000517405_1_00029	CDS	924			COG3039	IS5 family transposase ISSoEn1
Sodalis_pierantonius_SOPE_GCF_000517405_1_00030	CDS	666			COG3039	IS5 family transposase ISSoEn1
Sodalis_pierantonius_SOPE_GCF_000517405_1_00031	CDS	219			COG3039	IS5 family transposase ISSoEn1
Sodalis_pierantonius_SOPE_GCF_000517405_1_00032	CDS	1209				IS256 family transposase ISSoEn2
Sodalis_pierantonius_SOPE_GCF_000517405_1_00033	CDS	363	rfaH_1			Transcription antitermination protein RfaH
Sodalis_pierantonius_SOPE_GCF_000517405_1_00034	CDS	756				hypothetical protein
Sodalis_pierantonius_SOPE_GCF_000517405_1_00035	CDS	399				hypothetical protein
Sodalis_pierantonius_SOPE_GCF_000517405_1_00036	CDS	1203			COG1783	putative protein
Sodalis_pierantonius_SOPE_GCF_000517405_1_00037	CDS	1398				hypothetical protein
Sodalis_pierantonius_SOPE_GCF_000517405_1_00038	CDS	681				hypothetical protein
Sodalis_pierantonius_SOPE_GCF_000517405_1_00039	CDS	1239				hypothetical protein
Sodalis_pierantonius_SOPE_GCF_000517405_1_00040	CDS	498				hypothetical protein
Sodalis_pierantonius_SOPE_GCF_000517405_1_00041	CDS	462				hypothetical protein
Sodalis_pierantonius_SOPE_GCF_000517405_1_00042	CDS	471				hypothetical protein
Sodalis_pierantonius_SOPE_GCF_000517405_1_00043	CDS	402				hypothetical protein
Sodalis_pierantonius_SOPE_GCF_000517405_1_00044	CDS	459				hypothetical protein
Sodalis_pierantonius_SOPE_GCF_000517405_1_00045	CDS	390				hypothetical protein
Sodalis_pierantonius_SOPE_GCF_000517405_1_00046	CDS	549				hypothetical protein
Sodalis_pierantonius_SOPE_GCF_000517405_1_00047	CDS	1479				hypothetical protein
Sodalis_pierantonius_SOPE_GCF_000517405_1_00048	CDS	312				hypothetical protein
Sodalis_pierantonius_SOPE_GCF_000517405_1_00049	CDS	408				hypothetical protein
Sodalis_pierantonius_SOPE_GCF_000517405_1_00050	CDS	786				hypothetical protein
Sodalis_pierantonius_SOPE_GCF_000517405_1_00051	CDS	516				hypothetical protein
Sodalis_pierantonius_SOPE_GCF_000517405_1_00052	CDS	615				hypothetical protein
Sodalis_pierantonius_SOPE_GCF_000517405_1_00053	CDS	579				hypothetical protein
Sodalis_pierantonius_SOPE_GCF_000517405_1_00054	CDS	300				hypothetical protein
Sodalis_pierantonius_SOPE_GCF_000517405_1_00055	CDS	576				hypothetical protein
Sodalis_pierantonius_SOPE_GCF_000517405_1_00056	CDS	543				IS256 family transposase ISSoEn2
Sodalis_pierantonius_SOPE_GCF_000517405_1_00057	CDS	717				IS256 family transposase ISSoEn2
Sodalis_pierantonius_SOPE_GCF_000517405_1_00058	CDS	750				IS21 family transposase ISSoEn3
Sodalis_pierantonius_SOPE_GCF_000517405_1_00059	CDS	1377				IS21 family transposase ISPpu7
Sodalis_pierantonius_SOPE_GCF_000517405_1_00060	CDS	612				IS256 family transposase ISSoEn2
