locus_tag	ftype	length_bp	gene	EC_number	COG	product
Sodalis_sp_EtF2_GCA_036327475_1_00001	CDS	912	tufB_1		COG0050	Elongation factor Tu 2
Sodalis_sp_EtF2_GCA_036327475_1_00002	CDS	339				hypothetical protein
Sodalis_sp_EtF2_GCA_036327475_1_00003	CDS	186				hypothetical protein
Sodalis_sp_EtF2_GCA_036327475_1_00004	CDS	312	rpsJ		COG0051	30S ribosomal protein S10
Sodalis_sp_EtF2_GCA_036327475_1_00005	CDS	630	rplC		COG0087	50S ribosomal protein L3
Sodalis_sp_EtF2_GCA_036327475_1_00006	CDS	606	rplD		COG0088	50S ribosomal protein L4
Sodalis_sp_EtF2_GCA_036327475_1_00007	CDS	303	rplW		COG0089	50S ribosomal protein L23
Sodalis_sp_EtF2_GCA_036327475_1_00008	CDS	822	rplB		COG0090	50S ribosomal protein L2
Sodalis_sp_EtF2_GCA_036327475_1_00009	CDS	279	rpsS		COG0185	30S ribosomal protein S19
Sodalis_sp_EtF2_GCA_036327475_1_00010	CDS	333	rplV		COG0091	50S ribosomal protein L22
Sodalis_sp_EtF2_GCA_036327475_1_00011	CDS	699	rpsC		COG0092	30S ribosomal protein S3
Sodalis_sp_EtF2_GCA_036327475_1_00012	CDS	411	rplP		COG0197	50S ribosomal protein L16
Sodalis_sp_EtF2_GCA_036327475_1_00013	CDS	192	rpmC		COG0255	50S ribosomal protein L29
Sodalis_sp_EtF2_GCA_036327475_1_00014	CDS	255	rpsQ		COG0186	30S ribosomal protein S17
Sodalis_sp_EtF2_GCA_036327475_1_00015	CDS	372	rplN		COG0093	50S ribosomal protein L14
Sodalis_sp_EtF2_GCA_036327475_1_00016	CDS	315	rplX		COG0198	50S ribosomal protein L24
Sodalis_sp_EtF2_GCA_036327475_1_00017	CDS	555	rplE		COG0094	50S ribosomal protein L5
Sodalis_sp_EtF2_GCA_036327475_1_00018	CDS	306	rpsN		COG0199	30S ribosomal protein S14
Sodalis_sp_EtF2_GCA_036327475_1_00019	CDS	393	rpsH		COG0096	30S ribosomal protein S8
Sodalis_sp_EtF2_GCA_036327475_1_00020	CDS	534	rplF		COG0097	50S ribosomal protein L6
Sodalis_sp_EtF2_GCA_036327475_1_00021	CDS	357	rplR		COG0256	50S ribosomal protein L18
Sodalis_sp_EtF2_GCA_036327475_1_00022	CDS	501	rpsE		COG0098	30S ribosomal protein S5
Sodalis_sp_EtF2_GCA_036327475_1_00023	CDS	180	rpmD		COG1841	50S ribosomal protein L30
Sodalis_sp_EtF2_GCA_036327475_1_00024	CDS	435	rplO		COG0200	50S ribosomal protein L15
Sodalis_sp_EtF2_GCA_036327475_1_00025	CDS	1332	secY		COG0201	Protein translocase subunit SecY
Sodalis_sp_EtF2_GCA_036327475_1_00026	CDS	117	rpmJ		COG0257	50S ribosomal protein L36
Sodalis_sp_EtF2_GCA_036327475_1_00027	CDS	357	rpsM		COG0099	30S ribosomal protein S13
