locus_tag	ftype	length_bp	gene	EC_number	COG	product
Sodalis_glossinidius_morsitans_GCF_000010085_1_00001	CDS	1326	dnaA		COG0593	Chromosomal replication initiator protein DnaA
Sodalis_glossinidius_morsitans_GCF_000010085_1_00002	CDS	1101	dnaN		COG0592	Beta sliding clamp
Sodalis_glossinidius_morsitans_GCF_000010085_1_00003	CDS	1095	recF		COG1195	DNA replication and repair protein RecF
Sodalis_glossinidius_morsitans_GCF_000010085_1_00004	CDS	2415	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
Sodalis_glossinidius_morsitans_GCF_000010085_1_00005	CDS	333				hypothetical protein
Sodalis_glossinidius_morsitans_GCF_000010085_1_00006	CDS	441	yidA	3.1.3.23	COG0561	Sugar phosphatase YidA
Sodalis_glossinidius_morsitans_GCF_000010085_1_00007	CDS	543	nanR_1			HTH-type transcriptional repressor NanR
Sodalis_glossinidius_morsitans_GCF_000010085_1_00008	CDS	231				hypothetical protein
Sodalis_glossinidius_morsitans_GCF_000010085_1_00009	CDS	366				hypothetical protein
Sodalis_glossinidius_morsitans_GCF_000010085_1_00010	CDS	243	dgoA	4.1.2.21	COG0800	2-dehydro-3-deoxy-6-phosphogalactonate aldolase
Sodalis_glossinidius_morsitans_GCF_000010085_1_00011	CDS	435				hypothetical protein
Sodalis_glossinidius_morsitans_GCF_000010085_1_00012	CDS	228				hypothetical protein
Sodalis_glossinidius_morsitans_GCF_000010085_1_00013	CDS	1125				hypothetical protein
Sodalis_glossinidius_morsitans_GCF_000010085_1_00014	CDS	222	dgoD_1	4.2.1.6		D-galactonate dehydratase
Sodalis_glossinidius_morsitans_GCF_000010085_1_00015	CDS	174	dgoD_2	4.2.1.6	COG4948	D-galactonate dehydratase
Sodalis_glossinidius_morsitans_GCF_000010085_1_00016	CDS	567			COG3039	IS5 family transposase ISSgl1
Sodalis_glossinidius_morsitans_GCF_000010085_1_00017	CDS	399			COG3039	IS5 family transposase ISSgl1
Sodalis_glossinidius_morsitans_GCF_000010085_1_00018	CDS	921	dgoD_3	4.2.1.6		D-galactonate dehydratase
Sodalis_glossinidius_morsitans_GCF_000010085_1_00019	CDS	300				hypothetical protein
Sodalis_glossinidius_morsitans_GCF_000010085_1_00020	CDS	618				hypothetical protein
Sodalis_glossinidius_morsitans_GCF_000010085_1_00021	CDS	237				hypothetical protein
Sodalis_glossinidius_morsitans_GCF_000010085_1_00022	CDS	402				hypothetical protein
Sodalis_glossinidius_morsitans_GCF_000010085_1_00023	CDS	249				hypothetical protein
Sodalis_glossinidius_morsitans_GCF_000010085_1_00024	CDS	414	ibpA_1		COG0071	Small heat shock protein IbpA
Sodalis_glossinidius_morsitans_GCF_000010085_1_00025	CDS	216	ibpB		COG0071	Small heat shock protein IbpB
Sodalis_glossinidius_morsitans_GCF_000010085_1_00026	CDS	1188	avtA	2.6.1.66	COG3977	Valine--pyruvate aminotransferase
Sodalis_glossinidius_morsitans_GCF_000010085_1_00027	CDS	1002				hypothetical protein
Sodalis_glossinidius_morsitans_GCF_000010085_1_00028	CDS	327	ghrB_1	1.1.1.81		Glyoxylate/hydroxypyruvate reductase B
Sodalis_glossinidius_morsitans_GCF_000010085_1_00029	CDS	306	ghrB_2	1.1.1.79	COG1052	Glyoxylate/hydroxypyruvate reductase B
Sodalis_glossinidius_morsitans_GCF_000010085_1_00030	CDS	915	glyQ	6.1.1.14	COG0752	Glycine--tRNA ligase alpha subunit
Sodalis_glossinidius_morsitans_GCF_000010085_1_00031	CDS	2070	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
Sodalis_glossinidius_morsitans_GCF_000010085_1_00032	CDS	1926	mtlA		COG2213	PTS system mannitol-specific EIICBA component
Sodalis_glossinidius_morsitans_GCF_000010085_1_00033	CDS	1149	mtlD	1.1.1.17	COG0246	Mannitol-1-phosphate 5-dehydrogenase
Sodalis_glossinidius_morsitans_GCF_000010085_1_00034	CDS	561	mtlR		COG3722	Mannitol operon repressor
Sodalis_glossinidius_morsitans_GCF_000010085_1_00035	CDS	618	sodA	1.15.1.1	COG0605	Superoxide dismutase [Mn]
Sodalis_glossinidius_morsitans_GCF_000010085_1_00036	CDS	255	fdhD		COG1526	Sulfur carrier protein FdhD
Sodalis_glossinidius_morsitans_GCF_000010085_1_00037	CDS	249				hypothetical protein
Sodalis_glossinidius_morsitans_GCF_000010085_1_00038	CDS	552				hypothetical protein
Sodalis_glossinidius_morsitans_GCF_000010085_1_00039	CDS	270	wecH_1	2.3.1.-	COG3274	O-acetyltransferase WecH
Sodalis_glossinidius_morsitans_GCF_000010085_1_00040	CDS	255	wecH_2	2.3.1.-		O-acetyltransferase WecH
Sodalis_glossinidius_morsitans_GCF_000010085_1_00041	CDS	303				hypothetical protein
Sodalis_glossinidius_morsitans_GCF_000010085_1_00042	CDS	420				hypothetical protein
Sodalis_glossinidius_morsitans_GCF_000010085_1_00043	CDS	93				hypothetical protein
Sodalis_glossinidius_morsitans_GCF_000010085_1_00044	CDS	1209	sbnD			Staphyloferrin B transporter
Sodalis_glossinidius_morsitans_GCF_000010085_1_00045	CDS	378				hypothetical protein
Sodalis_glossinidius_morsitans_GCF_000010085_1_00046	CDS	177				hypothetical protein
Sodalis_glossinidius_morsitans_GCF_000010085_1_00047	CDS	495	ohrR_1			Organic hydroperoxide resistance transcriptional regulator
Sodalis_glossinidius_morsitans_GCF_000010085_1_00048	CDS	195				hypothetical protein
Sodalis_glossinidius_morsitans_GCF_000010085_1_00049	CDS	264				hypothetical protein
Sodalis_glossinidius_morsitans_GCF_000010085_1_00050	CDS	1071	eptB_1	2.7.8.42	COG2194	Kdo(2)-lipid A phosphoethanolamine 7''-transferase
Sodalis_glossinidius_morsitans_GCF_000010085_1_00051	CDS	390	eptB_2	2.7.8.42	COG2194	Kdo(2)-lipid A phosphoethanolamine 7''-transferase
Sodalis_glossinidius_morsitans_GCF_000010085_1_00052	tRNA	77				tRNA-Pro(cgg)
Sodalis_glossinidius_morsitans_GCF_000010085_1_00053	CDS	348	flhD_1			Flagellar transcriptional regulator FlhD
Sodalis_glossinidius_morsitans_GCF_000010085_1_00054	CDS	573	flhC_1			Flagellar transcriptional regulator FlhC
Sodalis_glossinidius_morsitans_GCF_000010085_1_00055	CDS	897	motA_1		COG1291	Motility protein A
Sodalis_glossinidius_morsitans_GCF_000010085_1_00056	CDS	1026	motB_1		COG1360	Motility protein B
Sodalis_glossinidius_morsitans_GCF_000010085_1_00057	CDS	1164	flhB_1		COG1377	Flagellar biosynthetic protein FlhB
Sodalis_glossinidius_morsitans_GCF_000010085_1_00058	CDS	2097	flhA_1		COG1298	Flagellar biosynthesis protein FlhA
